"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","florida-state","2001-09-01","@","Duke","W (55-13)",16,30,53.3,189,2,38,200,5.3,3,68,389,5.7,9,9,1,19,6,45,0,0,0
"3","florida-state","2001-09-08","","Alabama-Birmingham","W (29-7)",15,23,65.2,246,1,41,135,3.3,2,64,381,6,9,9,3,21,11,110,0,0,0
"4","florida-state","2001-09-22","@","North Carolina","L (9-41)",9,25,36,136,1,37,88,2.4,0,62,224,3.6,6,5,0,11,14,103,4,1,5
"5","florida-state","2001-09-29","","Wake Forest","W (48-24)",17,28,60.7,358,3,43,154,3.6,4,71,512,7.2,15,11,1,27,11,99,0,1,1
"6","florida-state","2001-10-13","","Miami (FL)","L (27-49)",17,37,45.9,262,1,48,214,4.5,2,85,476,5.6,13,13,4,30,11,106,2,4,6
"7","florida-state","2001-10-20","@","Virginia","W (43-7)",14,25,56,230,3,58,303,5.2,1,83,533,6.4,10,16,4,30,11,88,1,2,3
"8","florida-state","2001-10-27","","Maryland","W (52-31)",16,27,59.3,363,5,39,134,3.4,1,66,497,7.5,13,7,3,23,7,60,0,1,1
"9","florida-state","2001-11-03","@","Clemson","W (41-27)",19,30,63.3,369,4,35,188,5.4,1,65,557,8.6,16,10,1,27,4,30,0,2,2
"10","florida-state","2001-11-10","","North Carolina State","L (28-34)",20,35,57.1,302,3,28,132,4.7,1,63,434,6.9,14,7,4,25,6,47,1,1,2
"11","florida-state","2001-11-17","@","Florida","L (13-37)",27,40,67.5,228,1,21,40,1.9,0,61,268,4.4,11,2,0,13,5,33,0,1,1
"12","florida-state","2001-12-01","","Georgia Tech","W (28-17)",14,25,56,248,2,46,168,3.7,2,71,416,5.9,8,10,2,20,7,43,0,0,0
