"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","houston","2001-09-01","","Rice","L (14-21)",22,47,46.8,192,2,21,7,0.3,0,68,199,2.9,12,1,0,13,4,40,0,1,1
"3","houston","2001-09-22","","Texas","L (26-53)",20,33,60.6,364,3,30,68,2.3,1,63,432,6.9,11,5,1,17,9,84,2,1,3
"4","houston","2001-09-29","","Texas Christian","L (17-34)",20,40,50,272,1,26,113,4.3,1,66,385,5.8,11,3,1,15,7,57,4,0,4
"5","houston","2001-10-06","@","Army","L (14-28)",27,41,65.9,367,1,25,141,5.6,1,66,508,7.7,16,7,1,24,13,102,0,2,2
"6","houston","2001-10-13","","Memphis","L (33-52)",28,42,66.7,331,2,28,130,4.6,3,70,461,6.6,14,7,1,22,10,79,0,2,2
"7","houston","2001-10-20","","Cincinnati","L (28-29)",16,24,66.7,186,2,47,157,3.3,1,71,343,4.8,9,11,4,24,8,95,0,0,0
"8","houston","2001-10-27","@","Southern Mississippi","L (14-58)",26,56,46.4,254,1,29,102,3.5,1,85,356,4.2,14,9,1,24,2,9,2,4,6
"9","houston","2001-11-03","@","South Florida","L (6-45)",16,37,43.2,151,0,45,161,3.6,1,82,312,3.8,5,12,3,20,14,93,2,0,2
"10","houston","2001-11-10","@","Louisville","L (10-34)",16,30,53.3,157,0,36,108,3,1,66,265,4,8,5,3,16,5,36,0,0,0
"11","houston","2001-11-17","","Alabama-Birmingham","L (21-43)",32,58,55.2,276,2,16,-6,-0.4,1,74,270,3.6,14,1,3,18,10,65,1,2,3
"12","houston","2001-12-01","@","Georgia","L (7-35)",28,46,60.9,191,1,25,46,1.8,0,71,237,3.3,9,3,2,14,10,85,1,2,3
