"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","iowa","2001-09-01","","Kent State","W (51-0)",15,22,68.2,236,0,49,331,6.8,6,71,567,8,10,20,0,30,7,60,1,0,1
"3","iowa","2001-09-08","","Miami (OH)","W (44-19)",22,32,68.8,270,4,40,141,3.5,1,72,411,5.7,13,8,0,21,4,35,0,1,1
"4","iowa","2001-09-29","","Penn State","W (24-18)",16,25,64,225,1,44,104,2.4,2,69,329,4.8,12,6,2,20,10,94,1,0,1
"5","iowa","2001-10-06","@","Purdue","L (14-23)",22,34,64.7,174,2,34,33,1,0,68,207,3,8,3,1,12,6,37,0,2,2
"6","iowa","2001-10-13","@","Michigan State","L (28-31)",22,41,53.7,220,1,35,144,4.1,3,76,364,4.8,13,8,1,22,11,63,0,4,4
"7","iowa","2001-10-20","","Indiana","W (42-28)",13,17,76.5,228,3,33,226,6.8,3,50,454,9.1,9,11,0,20,1,14,0,1,1
"8","iowa","2001-10-27","","Michigan","L (26-32)",20,34,58.8,235,1,34,65,1.9,1,68,300,4.4,9,4,0,13,10,75,1,2,3
"9","iowa","2001-11-03","@","Wisconsin","L (28-34)",16,34,47.1,213,2,26,173,6.7,2,60,386,6.4,11,7,0,18,11,81,2,1,3
"10","iowa","2001-11-10","@","Northwestern","W (59-16)",17,24,70.8,305,2,60,283,4.7,6,84,588,7,11,13,1,25,6,45,0,1,1
"11","iowa","2001-11-17","","Minnesota","W (42-24)",13,14,92.9,206,3,53,267,5,3,67,473,7.1,10,13,0,23,5,49,1,0,1
"12","iowa","2001-11-24","@","Iowa State","L (14-17)",15,20,75,145,1,36,159,4.4,1,56,304,5.4,9,8,1,18,2,16,2,1,3
