"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","kent-state","2001-09-01","@","Iowa","L (0-51)",13,32,40.6,90,0,30,113,3.8,0,62,203,3.3,5,7,1,13,2,10,1,1,2
"3","kent-state","2001-09-08","","Bucknell","W (38-17)",10,26,38.5,145,2,44,212,4.8,2,70,357,5.1,6,11,2,19,9,105,1,0,1
"4","kent-state","2001-09-22","@","West Virginia","L (14-34)",13,33,39.4,117,1,42,176,4.2,1,75,293,3.9,7,8,4,19,6,56,1,2,3
"5","kent-state","2001-09-29","@","Akron","L (10-14)",17,26,65.4,193,1,45,162,3.6,0,71,355,5,10,10,1,21,5,33,2,0,2
"6","kent-state","2001-10-06","@","Bowling Green State","L (7-24)",12,24,50,143,1,21,54,2.6,0,45,197,4.4,5,3,1,9,6,57,4,1,5
"7","kent-state","2001-10-13","","Northern Illinois","W (44-34)",12,21,57.1,196,1,56,307,5.5,4,77,503,6.5,7,18,1,26,7,31,0,0,0
"8","kent-state","2001-10-20","","Buffalo","W (35-13)",15,19,78.9,194,2,41,238,5.8,2,60,432,7.2,9,11,1,21,10,114,1,0,1
"9","kent-state","2001-10-27","@","Ohio","W (24-14)",17,24,70.8,176,1,41,205,5,1,65,381,5.9,10,12,0,22,8,60,2,0,2
"10","kent-state","2001-11-03","","Marshall","L (21-42)",17,31,54.8,182,1,42,266,6.3,1,73,448,6.1,11,15,0,26,3,29,2,0,2
"11","kent-state","2001-11-10","@","Ball State","W (31-18)",5,14,35.7,95,1,37,309,8.4,3,51,404,7.9,4,12,1,17,5,45,0,0,0
"12","kent-state","2001-11-24","","Miami (OH)","W (24-20)",9,20,45,79,0,46,333,7.2,3,66,412,6.2,3,15,1,19,8,91,0,2,2
