"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","kentucky","2001-09-01","","Louisville","L (10-36)",15,37,40.5,155,0,28,58,2.1,0,65,213,3.3,8,5,5,18,6,45,2,2,4
"3","kentucky","2001-09-08","","Ball State","W (28-20)",15,22,68.2,215,2,28,146,5.2,2,50,361,7.2,8,8,1,17,7,49,1,0,1
"4","kentucky","2001-09-22","","Florida","L (10-44)",23,39,59,203,1,21,85,4,0,60,288,4.8,7,4,0,11,7,44,0,0,0
"5","kentucky","2001-09-29","","Mississippi","L (31-42)",12,33,36.4,104,0,36,225,6.3,4,69,329,4.8,5,11,2,18,5,35,0,1,1
"6","kentucky","2001-10-06","@","South Carolina","L (6-42)",20,36,55.6,188,1,30,138,4.6,0,66,326,4.9,9,5,2,16,15,122,2,2,4
"7","kentucky","2001-10-13","","Louisiana State","L (25-29)",23,42,54.8,286,2,24,127,5.3,1,66,413,6.3,13,7,0,20,4,25,0,2,2
"8","kentucky","2001-10-20","@","Georgia","L (29-43)",32,54,59.3,377,3,22,116,5.3,1,76,493,6.5,21,8,1,30,12,109,1,2,3
"9","kentucky","2001-11-03","@","Mississippi State","L (14-17)",26,46,56.5,320,2,17,2,0.1,0,63,322,5.1,13,1,4,18,9,60,0,2,2
"10","kentucky","2001-11-10","@","Vanderbilt","W (56-30)",26,37,70.3,453,6,30,130,4.3,1,67,583,8.7,18,7,1,26,14,133,1,0,1
"11","kentucky","2001-11-17","","Tennessee","L (35-38)",34,53,64.2,406,4,31,137,4.4,1,84,543,6.5,16,7,1,24,10,69,1,1,2
"12","kentucky","2001-12-01","@","Indiana","L (15-26)",26,47,55.3,324,2,19,16,0.8,0,66,340,5.2,15,2,1,18,9,76,0,1,1
