"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","louisiana-monroe","2001-09-01","","Sam Houston State","L (9-20)",18,36,50,186,0,30,60,2,1,66,246,3.7,8,4,1,13,9,75,2,0,2
"3","louisiana-monroe","2001-09-08","@","Florida","L (6-55)",11,26,42.3,78,0,21,27,1.3,1,47,105,2.2,4,0,1,5,2,10,1,0,1
"4","louisiana-monroe","2001-09-22","","Middle Tennessee State","L (20-38)",23,41,56.1,283,2,23,84,3.7,1,64,367,5.7,11,6,6,23,10,84,1,1,2
"5","louisiana-monroe","2001-09-29","","New Mexico State","L (0-31)",16,35,45.7,147,0,15,30,2,0,50,177,3.5,9,3,2,14,4,22,0,2,2
"6","louisiana-monroe","2001-10-06","","North Texas","W (19-17)",18,24,75,181,2,44,138,3.1,1,68,319,4.7,9,5,1,15,11,111,1,1,2
"7","louisiana-monroe","2001-10-20","@","Central Florida","L (6-38)",17,32,53.1,176,0,26,68,2.6,0,58,244,4.2,8,2,3,13,5,55,1,3,4
"8","louisiana-monroe","2001-10-27","@","Louisiana","L (12-17)",13,28,46.4,112,0,45,130,2.9,2,73,242,3.3,5,7,4,16,8,60,1,1,2
"9","louisiana-monroe","2001-11-03","@","Idaho","L (38-42)",29,53,54.7,287,2,24,23,1,2,77,310,4,14,2,4,20,9,64,0,0,0
"10","louisiana-monroe","2001-11-10","","Troy","L (12-44)",9,27,33.3,142,1,22,74,3.4,0,49,216,4.4,6,4,1,11,6,46,1,5,6
"11","louisiana-monroe","2001-11-17","@","Arkansas State","W (16-7)",14,23,60.9,179,0,32,82,2.6,1,55,261,4.7,7,3,0,10,5,36,0,0,0
"12","louisiana-monroe","2001-12-01","@","Cincinnati","L (10-42)",9,26,34.6,111,0,36,94,2.6,1,62,205,3.3,5,9,3,17,7,69,2,1,3
