"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","louisville","2001-08-23","","New Mexico State","W (45-24)",18,32,56.3,272,3,30,101,3.4,1,62,373,6,11,7,0,18,8,89,1,1,2
"3","louisville","2001-09-01","@","Kentucky","W (36-10)",21,34,61.8,368,3,35,118,3.4,2,69,486,7,15,7,2,24,14,121,1,0,1
"4","louisville","2001-09-08","","Western Carolina","W (31-7)",14,25,56,218,0,32,176,5.5,3,57,394,6.9,12,5,1,18,4,32,1,0,1
"5","louisville","2001-09-22","@","Illinois","L (10-34)",22,39,56.4,309,1,25,29,1.2,0,64,338,5.3,12,1,0,13,13,111,2,3,5
"6","louisville","2001-09-29","","Memphis","W (38-21)",15,27,55.6,207,2,40,235,5.9,3,67,442,6.6,8,11,1,20,9,73,2,0,2
"7","louisville","2001-10-04","","Colorado State","W (7-2)",20,28,71.4,213,1,32,32,1,0,60,245,4.1,9,6,0,15,5,51,2,2,4
"8","louisville","2001-10-16","","Southern Mississippi","W (24-14)",17,32,53.1,186,1,44,42,1,1,76,228,3,10,7,0,17,10,53,0,0,0
"9","louisville","2001-10-27","@","Cincinnati","W (28-13)",12,28,42.9,154,1,51,222,4.4,3,79,376,4.8,7,12,0,19,8,84,2,0,2
"10","louisville","2001-11-03","@","Tulane","W (52-7)",20,32,62.5,245,3,42,328,7.8,4,74,573,7.7,13,13,2,28,8,72,1,0,1
"11","louisville","2001-11-10","","Houston","W (34-10)",20,30,66.7,274,2,34,91,2.7,1,64,365,5.7,12,5,0,17,8,79,1,0,1
"12","louisville","2001-11-15","@","East Carolina","W (39-34)",22,34,64.7,292,3,44,138,3.1,1,78,430,5.5,11,9,2,22,8,37,0,1,1
"13","louisville","2001-11-23","@","Texas Christian","L (22-37)",33,52,63.5,381,3,25,-47,-1.9,0,77,334,4.3,15,4,1,20,10,103,3,0,3
