"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","miami-fl","2001-09-01","@","Penn State","W (33-7)",20,27,74.1,344,3,44,258,5.9,0,71,602,8.5,16,7,0,23,14,120,1,1,2
"3","miami-fl","2001-09-08","","Rutgers","W (61-0)",14,26,53.8,315,2,42,227,5.4,4,68,542,8,9,10,1,20,10,127,1,1,2
"4","miami-fl","2001-09-27","@","Pittsburgh","W (43-21)",20,34,58.8,224,1,45,243,5.4,4,79,467,5.9,13,11,1,25,13,120,0,1,1
"5","miami-fl","2001-10-06","","Troy","W (38-7)",21,37,56.8,327,2,28,101,3.6,2,65,428,6.6,17,5,1,23,7,60,0,0,0
"6","miami-fl","2001-10-13","@","Florida State","W (49-27)",14,27,51.9,249,3,36,142,3.9,2,63,391,6.2,10,5,3,18,15,125,3,0,3
"7","miami-fl","2001-10-25","","West Virginia","W (45-3)",19,32,59.4,224,2,35,212,6.1,3,67,436,6.5,10,7,2,19,10,76,1,1,2
"8","miami-fl","2001-11-03","","Temple","W (38-0)",16,26,61.5,175,2,38,212,5.6,2,64,387,6,7,11,4,22,7,65,1,0,1
"9","miami-fl","2001-11-10","@","Boston College","W (18-7)",20,41,48.8,222,0,40,165,4.1,0,81,387,4.8,16,7,0,23,6,53,1,4,5
"10","miami-fl","2001-11-17","","Syracuse","W (59-0)",14,22,63.6,235,4,36,331,9.2,3,58,566,9.8,11,12,2,25,10,79,0,0,0
"11","miami-fl","2001-11-24","","Washington","W (65-7)",15,24,62.5,202,4,37,211,5.7,4,61,413,6.8,9,12,0,21,7,46,0,1,1
"12","miami-fl","2001-12-01","@","Virginia Tech","W (26-24)",21,44,47.7,235,1,41,149,3.6,1,85,384,4.5,13,8,2,23,10,73,2,0,2
