"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","michigan","2001-09-01","","Miami (OH)","W (31-13)",20,34,58.8,214,1,47,189,4,3,81,403,5,11,10,1,22,2,20,1,0,1
"3","michigan","2001-09-08","@","Washington","L (18-23)",26,45,57.8,248,2,37,124,3.4,0,82,372,4.5,12,8,1,21,9,63,0,2,2
"4","michigan","2001-09-22","","Western Michigan","W (38-21)",18,30,60,284,2,39,188,4.8,3,69,472,6.8,13,7,3,23,13,111,0,0,0
"5","michigan","2001-09-29","","Illinois","W (45-20)",16,30,53.3,268,2,45,137,3,4,75,405,5.4,12,7,2,21,5,30,1,0,1
"6","michigan","2001-10-06","@","Penn State","W (20-0)",18,33,54.5,263,2,48,147,3.1,0,81,410,5.1,12,7,2,21,1,5,1,0,1
"7","michigan","2001-10-13","","Purdue","W (24-10)",21,28,75,233,1,38,122,3.2,2,66,355,5.4,11,5,0,16,4,25,3,1,4
"8","michigan","2001-10-27","@","Iowa","W (32-26)",16,38,42.1,233,2,36,63,1.8,1,74,296,4,10,2,2,14,3,20,1,2,3
"9","michigan","2001-11-03","@","Michigan State","L (24-26)",14,27,51.9,195,3,30,121,4,0,57,316,5.5,7,7,0,14,7,76,0,2,2
"10","michigan","2001-11-10","","Minnesota","W (31-10)",14,26,53.8,153,0,56,300,5.4,4,82,453,5.5,8,16,2,26,3,22,0,1,1
"11","michigan","2001-11-17","@","Wisconsin","W (20-17)",11,26,42.3,58,1,38,105,2.8,0,64,163,2.5,4,6,2,12,6,40,1,1,2
"12","michigan","2001-11-24","","Ohio State","L (20-26)",21,47,44.7,206,2,35,117,3.3,1,82,323,3.9,9,6,3,18,6,30,1,4,5
