"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","middle-tennessee-state","2001-08-30","@","Vanderbilt","W (37-28)",27,36,75,308,0,52,300,5.8,5,88,608,6.9,15,16,6,37,9,56,1,0,1
"3","middle-tennessee-state","2001-09-08","","Troy","W (54-17)",20,28,71.4,328,2,55,313,5.7,6,83,641,7.7,11,16,2,29,14,127,1,1,2
"4","middle-tennessee-state","2001-09-22","@","Louisiana-Monroe","W (38-20)",30,37,81.1,323,2,48,186,3.9,3,85,509,6,17,11,3,31,11,103,3,0,3
"5","middle-tennessee-state","2001-09-29","@","Louisiana","W (26-9)",5,17,29.4,53,2,43,289,6.7,1,60,342,5.7,3,12,2,17,5,54,1,2,3
"6","middle-tennessee-state","2001-10-06","","Idaho","W (70-58)",23,28,82.1,459,6,39,226,5.8,3,67,685,10.2,14,12,2,28,8,38,1,0,1
"7","middle-tennessee-state","2001-10-13","@","North Texas","L (21-24)",19,26,73.1,171,2,36,123,3.4,1,62,294,4.7,8,14,1,23,2,30,3,1,4
"8","middle-tennessee-state","2001-10-20","@","Mississippi","L (17-45)",13,29,44.8,129,2,30,199,6.6,0,59,328,5.6,7,8,1,16,11,103,1,1,2
"9","middle-tennessee-state","2001-10-27","","New Mexico State","W (39-35)",31,42,73.8,383,1,37,173,4.7,4,79,556,7,17,11,1,29,7,50,2,1,3
"10","middle-tennessee-state","2001-11-03","","Arkansas State","W (54-6)",11,19,57.9,131,2,50,301,6,5,69,432,6.3,8,15,2,25,7,79,0,0,0
"11","middle-tennessee-state","2001-11-10","@","Louisiana State","L (14-30)",22,30,73.3,195,2,29,178,6.1,0,59,373,6.3,12,7,2,21,7,61,1,0,1
"12","middle-tennessee-state","2001-11-17","","Connecticut","W (38-14)",13,18,72.2,201,0,52,327,6.3,4,70,528,7.5,9,16,1,26,8,67,1,0,1
