"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","nebraska","2001-08-25","","Texas Christian","W (21-7)",10,18,55.6,151,0,50,159,3.2,3,68,310,4.6,5,9,2,16,5,46,1,1,2
"3","nebraska","2001-09-01","","Troy","W (42-14)",9,16,56.3,127,0,60,330,5.5,5,76,457,6,5,19,1,25,4,60,2,1,3
"4","nebraska","2001-09-08","","Notre Dame","W (27-10)",6,9,66.7,88,1,52,182,3.5,2,61,270,4.4,5,10,1,16,10,69,2,0,2
"5","nebraska","2001-09-20","","Rice","W (48-3)",12,15,80,205,3,53,292,5.5,4,68,497,7.3,8,16,0,24,4,46,0,0,0
"6","nebraska","2001-09-29","@","Missouri","W (36-3)",8,15,53.3,120,0,72,412,5.7,5,87,532,6.1,6,19,1,26,9,85,1,1,2
"7","nebraska","2001-10-06","","Iowa State","W (48-14)",11,16,68.8,117,0,54,359,6.6,6,70,476,6.8,5,18,2,25,3,40,0,1,1
"8","nebraska","2001-10-13","@","Baylor","W (48-7)",4,9,44.4,47,0,73,641,8.8,7,82,688,8.4,3,27,1,31,4,32,5,0,5
"9","nebraska","2001-10-20","","Texas Tech","W (41-31)",10,22,45.5,196,3,56,335,6,2,78,531,6.8,9,19,2,30,9,93,0,2,2
"10","nebraska","2001-10-27","","Oklahoma","W (20-10)",11,19,57.9,165,1,44,164,3.7,1,63,329,5.2,5,7,1,13,6,57,0,1,1
"11","nebraska","2001-11-03","@","Kansas","W (51-7)",14,25,56,164,0,51,284,5.6,5,76,448,5.9,7,17,0,24,3,25,0,0,0
"12","nebraska","2001-11-10","","Kansas State","W (31-21)",3,7,42.9,60,0,58,264,4.6,2,65,324,5,2,16,0,18,4,41,1,2,3
"13","nebraska","2001-11-23","@","Colorado","L (36-62)",13,28,46.4,198,0,49,354,7.2,5,77,552,7.2,8,13,0,21,8,80,2,2,4
