"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","nevada","2001-09-01","@","Brigham Young","L (7-52)",15,28,53.6,127,0,36,160,4.4,1,64,287,4.5,7,10,0,17,7,45,0,1,1
"3","nevada","2001-09-08","@","Colorado State","L (18-35)",26,46,56.5,273,1,36,138,3.8,1,82,411,5,16,8,2,26,12,88,1,3,4
"4","nevada","2001-09-22","","Hawaii","W (28-20)",21,28,75,231,3,51,220,4.3,0,79,451,5.7,10,15,1,26,15,115,0,0,0
"5","nevada","2001-10-06","","Nevada-Las Vegas","L (12-27)",20,42,47.6,165,0,43,243,5.7,1,85,408,4.8,9,14,0,23,10,99,0,2,2
"6","nevada","2001-10-13","","Louisiana Tech","L (42-45)",19,27,70.4,196,1,52,321,6.2,4,79,517,6.5,8,16,2,26,14,113,0,1,1
"7","nevada","2001-10-20","@","Rice","L (30-33)",27,45,60,431,1,45,169,3.8,1,90,600,6.7,21,10,1,32,4,25,1,1,2
"8","nevada","2001-10-27","@","Boise State","L (7-49)",30,53,56.6,297,1,29,85,2.9,0,82,382,4.7,16,6,1,23,8,79,1,0,1
"9","nevada","2001-11-03","","Southern Methodist","W (35-14)",8,22,36.4,156,2,37,178,4.8,1,59,334,5.7,5,10,2,17,6,55,0,1,1
"10","nevada","2001-11-10","@","San Jose State","L (45-64)",26,49,53.1,565,2,36,226,6.3,4,85,791,9.3,20,10,2,32,13,99,0,1,1
"11","nevada","2001-11-17","","Fresno State","L (14-61)",14,33,42.4,167,1,53,117,2.2,1,86,284,3.3,9,12,1,22,2,10,3,0,3
"12","nevada","2001-11-24","@","Texas-El Paso","W (48-31)",13,24,54.2,119,1,56,409,7.3,6,80,528,6.6,9,18,2,29,5,53,0,0,0
