"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","new-mexico-state","2001-08-23","@","Louisville","L (24-45)",8,16,50,137,1,68,407,6,2,84,544,6.5,6,19,3,28,10,77,4,0,4
"3","new-mexico-state","2001-09-01","@","Texas","L (7-41)",8,16,50,63,0,34,169,5,1,50,232,4.6,3,8,1,12,8,55,2,0,2
"4","new-mexico-state","2001-09-08","","Oregon State","L (22-27)",15,29,51.7,206,1,43,161,3.7,2,72,367,5.1,10,9,5,24,8,76,1,0,1
"5","new-mexico-state","2001-09-22","@","Kansas State","L (0-64)",9,23,39.1,70,0,43,45,1,0,66,115,1.7,3,5,4,12,8,66,1,2,3
"6","new-mexico-state","2001-09-29","@","Louisiana-Monroe","W (31-0)",14,23,60.9,166,1,67,288,4.3,3,90,454,5,8,18,1,27,11,110,0,0,0
"7","new-mexico-state","2001-10-06","@","Tulsa","W (24-7)",8,19,42.1,124,0,44,175,4,1,63,299,4.7,6,10,1,17,9,80,1,1,2
"8","new-mexico-state","2001-10-13","","Idaho","W (46-39)",12,19,63.2,124,1,59,356,6,4,78,480,6.2,7,20,6,33,10,87,2,0,2
"9","new-mexico-state","2001-10-27","@","Middle Tennessee State","L (35-39)",14,24,58.3,206,0,44,183,4.2,5,68,389,5.7,10,9,0,19,8,52,1,0,1
"10","new-mexico-state","2001-11-03","","North Texas","L (20-22)",16,29,55.2,214,2,36,170,4.7,1,65,384,5.9,10,11,2,23,7,55,2,3,5
"11","new-mexico-state","2001-11-10","","Arkansas State","W (28-17)",11,18,61.1,161,0,37,215,5.8,3,55,376,6.8,8,9,0,17,3,13,3,0,3
"12","new-mexico-state","2001-11-17","@","Louisiana","W (49-46)",12,22,54.5,203,1,45,245,5.4,5,67,448,6.7,9,11,2,22,9,71,2,0,2
"13","new-mexico-state","2001-11-24","@","New Mexico","L (0-53)",15,37,40.5,157,0,31,79,2.5,0,68,236,3.5,10,5,2,17,8,76,1,2,3
