"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","new-mexico","2001-09-01","","Texas-El Paso","W (26-6)",6,30,20,52,0,46,271,5.9,2,76,323,4.3,3,14,2,19,17,122,0,2,2
"3","new-mexico","2001-09-08","@","Texas Tech","L (30-42)",11,24,45.8,122,1,47,210,4.5,3,71,332,4.7,4,12,1,17,3,25,1,0,1
"4","new-mexico","2001-09-22","@","Baylor","L (13-16)",13,29,44.8,258,1,45,102,2.3,0,74,360,4.9,7,5,1,13,10,91,2,2,4
"5","new-mexico","2001-09-29","@","Utah","L (16-37)",10,36,27.8,165,1,36,146,4.1,1,72,311,4.3,7,4,1,12,7,65,2,1,3
"6","new-mexico","2001-10-06","@","Wyoming","W (30-29)",20,30,66.7,211,1,44,131,3,0,74,342,4.6,10,7,0,17,7,58,1,1,2
"7","new-mexico","2001-10-13","","Brigham Young","L (20-24)",18,35,51.4,180,1,48,198,4.1,1,83,378,4.6,9,14,0,23,4,40,0,3,3
"8","new-mexico","2001-10-27","","Air Force","W (52-33)",20,41,48.8,324,3,57,296,5.2,2,98,620,6.3,16,16,0,32,6,55,1,2,3
"9","new-mexico","2001-11-03","@","San Diego State","W (20-15)",12,33,36.4,231,2,40,34,0.9,0,73,265,3.6,8,5,0,13,5,30,0,1,1
"10","new-mexico","2001-11-10","","Nevada-Las Vegas","W (27-17)",11,27,40.7,140,0,45,200,4.4,3,72,340,4.7,9,9,2,20,5,65,1,0,1
"11","new-mexico","2001-11-17","","Colorado State","L (17-24)",15,37,40.5,255,1,41,156,3.8,0,78,411,5.3,9,11,1,21,4,30,0,5,5
"12","new-mexico","2001-11-24","","New Mexico State","W (53-0)",5,9,55.6,113,0,59,350,5.9,6,68,463,6.8,4,18,0,22,3,43,0,0,0
