"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","north-carolina-state","2001-09-06","","Indiana","W (35-14)",22,34,64.7,243,3,35,118,3.4,1,69,361,5.2,11,7,1,19,3,13,0,0,0
"3","north-carolina-state","2001-09-22","@","Southern Methodist","W (26-17)",21,31,67.7,215,0,26,73,2.8,2,57,288,5.1,10,4,3,17,9,80,0,1,1
"4","north-carolina-state","2001-09-29","","North Carolina","L (9-17)",25,45,55.6,309,1,20,52,2.6,0,65,361,5.6,12,2,0,14,10,101,2,0,2
"5","north-carolina-state","2001-10-06","@","Wake Forest","W (17-14)",20,32,62.5,180,1,47,141,3,1,79,321,4.1,8,9,5,22,5,33,0,0,0
"6","north-carolina-state","2001-10-13","","Clemson","L (37-45)",25,48,52.1,331,5,21,21,1,0,69,352,5.1,15,2,4,21,12,118,0,1,1
"7","north-carolina-state","2001-10-20","@","Georgia Tech","L (17-27)",20,32,62.5,223,1,26,41,1.6,1,58,264,4.6,8,4,3,15,10,87,1,2,3
"8","north-carolina-state","2001-10-27","","Virginia","W (24-0)",21,30,70,217,0,45,196,4.4,3,75,413,5.5,11,11,0,22,5,40,1,1,2
"9","north-carolina-state","2001-11-03","@","Duke","W (55-31)",14,23,60.9,189,5,25,193,7.7,1,48,382,8,6,6,2,14,10,89,1,0,1
"10","north-carolina-state","2001-11-10","@","Florida State","W (34-28)",27,35,77.1,276,0,38,187,4.9,4,73,463,6.3,13,11,2,26,7,62,0,1,1
"11","north-carolina-state","2001-11-17","","Maryland","L (19-23)",27,43,62.8,275,1,33,38,1.2,0,76,313,4.1,13,5,1,19,5,35,1,1,2
"12","north-carolina-state","2001-11-24","","Ohio","W (27-7)",26,32,81.3,254,1,39,168,4.3,2,71,422,5.9,13,11,2,26,6,50,0,0,0
