"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","north-texas","2001-09-01","","Texas Christian","L (5-19)",3,12,25,23,0,34,106,3.1,0,46,129,2.8,1,3,3,7,9,83,1,0,1
"3","north-texas","2001-09-08","@","Oklahoma","L (10-37)",12,26,46.2,180,1,39,117,3,0,65,297,4.6,4,6,1,11,10,129,1,2,3
"4","north-texas","2001-09-22","","Texas Tech","L (14-42)",14,32,43.8,125,1,38,160,4.2,1,70,285,4.1,7,6,2,15,6,41,2,2,4
"5","north-texas","2001-09-29","@","South Florida","L (10-28)",18,33,54.5,203,1,37,118,3.2,0,70,321,4.6,9,2,3,14,9,74,1,1,2
"6","north-texas","2001-10-06","@","Louisiana-Monroe","L (17-19)",11,18,61.1,148,1,30,136,4.5,1,48,284,5.9,6,4,3,13,7,67,1,2,3
"7","north-texas","2001-10-13","","Middle Tennessee State","W (24-21)",8,19,42.1,117,2,58,216,3.7,1,77,333,4.3,6,11,0,17,7,53,0,2,2
"8","north-texas","2001-10-20","","Arkansas State","W (45-0)",6,10,60,143,2,49,134,2.7,4,59,277,4.7,4,8,3,15,6,52,1,0,1
"9","north-texas","2001-11-03","@","New Mexico State","W (22-20)",13,27,48.1,189,2,47,195,4.1,0,74,384,5.2,6,11,1,18,11,99,1,2,3
"10","north-texas","2001-11-10","","Louisiana","W (42-17)",7,11,63.6,139,3,52,256,4.9,2,63,395,6.3,6,12,4,22,6,65,1,0,1
"11","north-texas","2001-11-17","@","Idaho","W (50-27)",13,19,68.4,148,3,46,254,5.5,4,65,402,6.2,7,13,2,22,5,21,0,1,1
"12","north-texas","2001-12-01","@","Troy","L (16-18)",9,18,50,145,2,43,72,1.7,0,61,217,3.6,7,6,0,13,9,82,1,2,3
