"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","northern-illinois","2001-08-30","","South Florida","W (20-17)",20,36,55.6,144,1,47,200,4.3,1,83,344,4.1,8,10,3,21,8,64,1,0,1
"3","northern-illinois","2001-09-08","@","Illinois","L (12-17)",17,44,38.6,159,1,44,214,4.9,0,88,373,4.2,11,9,3,23,8,77,0,2,2
"4","northern-illinois","2001-09-22","","Sam Houston State","W (41-16)",15,26,57.7,279,3,52,160,3.1,1,78,439,5.6,11,11,2,24,4,39,0,0,0
"5","northern-illinois","2001-09-29","@","Toledo","L (20-41)",22,43,51.2,210,1,28,17,0.6,0,71,227,3.2,10,2,3,15,10,85,0,2,2
"6","northern-illinois","2001-10-06","","Marshall","L (15-37)",11,23,47.8,142,0,46,127,2.8,2,69,269,3.9,5,10,3,18,4,30,1,3,4
"7","northern-illinois","2001-10-13","@","Kent State","L (34-44)",19,39,48.7,250,1,37,112,3,2,76,362,4.8,13,6,2,21,3,31,0,0,0
"8","northern-illinois","2001-10-20","","Western Michigan","W (20-12)",10,18,55.6,147,0,56,171,3.1,1,74,318,4.3,5,11,0,16,4,39,2,0,2
"9","northern-illinois","2001-10-27","@","Central Michigan","W (33-24)",14,31,45.2,203,1,42,209,5,2,73,412,5.6,11,7,1,19,6,43,0,1,1
"10","northern-illinois","2001-11-03","","Eastern Michigan","W (40-17)",15,28,53.6,205,2,38,133,3.5,1,66,338,5.1,7,7,0,14,7,60,0,0,0
"11","northern-illinois","2001-11-17","","Ball State","W (33-29)",14,26,53.8,217,1,40,124,3.1,2,66,341,5.2,9,8,1,18,3,45,0,1,1
"12","northern-illinois","2001-11-24","@","Wake Forest","L (35-38)",14,28,50,201,3,36,122,3.4,2,64,323,5,7,8,2,17,8,68,1,0,1
