"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","northwestern","2001-09-07","@","Nevada-Las Vegas","W (37-28)",24,49,49,224,2,49,187,3.8,3,98,411,4.2,15,8,4,27,10,113,1,0,1
"3","northwestern","2001-09-22","@","Duke","W (44-7)",23,37,62.2,335,1,49,303,6.2,4,86,638,7.4,15,13,0,28,7,75,0,1,1
"4","northwestern","2001-09-29","","Michigan State","W (27-26)",23,40,57.5,231,2,44,191,4.3,1,84,422,5,10,10,0,20,13,105,0,1,1
"5","northwestern","2001-10-06","@","Ohio State","L (20-38)",18,31,58.1,136,1,48,170,3.5,2,79,306,3.9,6,13,3,22,7,47,1,1,2
"6","northwestern","2001-10-13","","Minnesota","W (23-17)",22,32,68.8,237,1,46,113,2.5,1,78,350,4.5,9,11,1,21,7,75,0,1,1
"7","northwestern","2001-10-20","","Penn State","L (35-38)",23,40,57.5,298,1,45,229,5.1,4,85,527,6.2,14,13,2,29,5,30,1,0,1
"8","northwestern","2001-10-27","@","Purdue","L (27-32)",22,43,51.2,235,2,44,123,2.8,2,87,358,4.1,11,12,0,23,8,51,1,0,1
"9","northwestern","2001-11-03","@","Indiana","L (21-56)",34,57,59.6,309,2,43,204,4.7,1,100,513,5.1,17,11,4,32,10,93,2,2,4
"10","northwestern","2001-11-10","","Iowa","L (16-59)",20,34,58.8,136,2,31,120,3.9,0,65,256,3.9,10,2,2,14,5,53,1,2,3
"11","northwestern","2001-11-17","","Bowling Green State","L (42-43)",26,39,66.7,421,3,58,203,3.5,3,97,624,6.4,17,13,2,32,7,65,2,2,4
"12","northwestern","2001-11-22","@","Illinois","L (28-34)",19,41,46.3,266,4,42,201,4.8,0,83,467,5.6,14,11,0,25,4,33,0,1,1
