"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","notre-dame","2001-09-08","@","Nebraska","L (10-27)",16,32,50,119,0,30,43,1.4,1,62,162,2.6,6,4,4,14,9,63,2,2,4
"3","notre-dame","2001-09-22","","Michigan State","L (10-17)",13,24,54.2,124,1,43,156,3.6,0,67,280,4.2,9,9,0,18,5,61,1,1,2
"4","notre-dame","2001-09-29","@","Texas A&M","L (3-24)",12,27,44.4,121,0,33,70,2.1,0,60,191,3.2,6,5,1,12,4,19,0,3,3
"5","notre-dame","2001-10-06","","Pittsburgh","W (24-7)",10,13,76.9,70,0,57,249,4.4,3,70,319,4.6,5,12,1,18,6,52,0,0,0
"6","notre-dame","2001-10-13","","West Virginia","W (34-24)",7,14,50,70,0,69,345,5,4,83,415,5,5,16,2,23,10,103,1,1,2
"7","notre-dame","2001-10-20","","Southern California","W (27-16)",10,14,71.4,138,0,53,208,3.9,3,67,346,5.2,7,10,2,19,5,29,3,0,3
"8","notre-dame","2001-10-27","@","Boston College","L (17-21)",12,23,52.2,116,2,59,233,3.9,0,82,349,4.3,5,15,3,23,5,38,1,1,2
"9","notre-dame","2001-11-03","","Tennessee","L (18-28)",13,24,54.2,146,0,45,122,2.7,1,69,268,3.9,8,11,1,20,7,53,2,1,3
"10","notre-dame","2001-11-17","","Navy","W (34-16)",7,12,58.3,118,0,58,272,4.7,3,70,390,5.6,5,13,0,18,4,33,1,1,2
"11","notre-dame","2001-11-24","@","Stanford","L (13-17)",2,20,10,64,1,43,241,5.6,0,63,305,4.8,2,11,0,13,8,81,0,1,1
"12","notre-dame","2001-12-01","@","Purdue","W (24-18)",7,15,46.7,31,0,40,131,3.3,1,55,162,2.9,1,9,0,10,11,94,1,0,1
