"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","ohio","2001-08-30","@","Akron","L (29-31)",9,11,81.8,104,0,60,339,5.7,3,71,443,6.2,5,25,1,31,4,40,0,0,0
"3","ohio","2001-09-08","@","West Virginia","L (3-20)",5,8,62.5,87,0,58,223,3.8,0,66,310,4.7,3,11,3,17,7,44,2,0,2
"4","ohio","2001-09-22","","Iowa State","L (28-31)",8,12,66.7,151,2,44,285,6.5,2,56,436,7.8,4,12,1,17,8,111,1,0,1
"5","ohio","2001-10-06","","Toledo","L (41-48)",11,18,61.1,107,0,47,194,4.1,4,65,301,4.6,5,12,3,20,3,23,2,0,2
"6","ohio","2001-10-13","@","Central Michigan","W (34-3)",4,8,50,94,1,60,342,5.7,4,68,436,6.4,4,14,4,22,8,40,1,0,1
"7","ohio","2001-10-20","","Miami (OH)","L (24-36)",3,12,25,22,0,57,281,4.9,3,69,303,4.4,1,17,3,21,10,103,3,0,3
"8","ohio","2001-10-27","","Kent State","L (14-24)",6,16,37.5,79,0,56,262,4.7,2,72,341,4.7,4,14,1,19,3,25,1,0,1
"9","ohio","2001-11-03","@","Buffalo","L (0-44)",4,13,30.8,2,0,43,159,3.7,0,56,161,2.9,0,9,2,11,6,25,2,1,3
"10","ohio","2001-11-10","","Bowling Green State","L (0-17)",3,11,27.3,35,0,33,105,3.2,0,44,140,3.2,0,6,2,8,3,30,1,2,3
"11","ohio","2001-11-17","@","Marshall","L (18-42)",8,21,38.1,86,2,65,318,4.9,1,86,404,4.7,5,18,0,23,5,60,2,1,3
"12","ohio","2001-11-24","@","North Carolina State","L (7-27)",6,14,42.9,52,0,44,133,3,1,58,185,3.2,3,8,0,11,4,35,0,0,0
