"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","mississippi","2001-09-01","","Murray State","W (49-14)",23,31,74.2,303,5,41,196,4.8,1,72,499,6.9,13,13,2,28,7,54,1,0,1
"3","mississippi","2001-09-08","@","Auburn","L (21-27)",24,39,61.5,265,1,23,50,2.2,2,62,315,5.1,12,3,2,17,4,40,3,1,4
"4","mississippi","2001-09-29","@","Kentucky","W (42-31)",19,36,52.8,268,2,42,229,5.5,4,78,497,6.4,12,12,2,26,3,34,1,0,1
"5","mississippi","2001-10-06","@","Arkansas State","W (35-17)",20,29,69,269,2,40,146,3.7,3,69,415,6,13,8,3,24,4,49,2,0,2
"6","mississippi","2001-10-13","","Alabama","W (27-24)",22,41,53.7,325,1,39,105,2.7,3,80,430,5.4,12,9,1,22,8,55,1,0,1
"7","mississippi","2001-10-20","","Middle Tennessee State","W (45-17)",25,31,80.6,257,3,50,221,4.4,3,81,478,5.9,12,14,1,27,4,36,1,0,1
"8","mississippi","2001-10-27","@","Louisiana State","W (35-24)",28,44,63.6,249,3,34,129,3.8,2,78,378,4.8,10,10,1,21,5,39,0,1,1
"9","mississippi","2001-11-03","","Arkansas","L (56-58)",27,42,64.3,312,6,50,145,2.9,2,92,457,5,17,10,1,28,4,16,1,0,1
"10","mississippi","2001-11-17","","Georgia","L (15-35)",35,47,74.5,233,2,20,28,1.4,0,67,261,3.9,15,3,3,21,6,52,1,1,2
"11","mississippi","2001-11-22","@","Mississippi State","L (28-36)",17,37,45.9,211,2,41,137,3.3,2,78,348,4.5,11,8,3,22,4,45,0,3,3
"12","mississippi","2001-12-01","","Vanderbilt","W (38-27)",23,40,57.5,286,4,42,201,4.8,1,82,487,5.9,14,15,3,32,5,45,0,3,3
