"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","oregon","2001-09-01","","Wisconsin","W (31-28)",23,49,46.9,279,3,34,135,4,1,83,414,5,16,6,2,24,6,60,0,2,2
"3","oregon","2001-09-08","","Utah","W (24-10)",18,28,64.3,270,2,32,107,3.3,1,60,377,6.3,11,8,3,22,7,77,0,0,0
"4","oregon","2001-09-22","","Southern California","W (24-22)",23,36,63.9,223,2,26,80,3.1,0,62,303,4.9,11,5,1,17,8,69,1,0,1
"5","oregon","2001-09-29","@","Utah State","W (38-21)",17,24,70.8,261,2,45,289,6.4,3,69,550,8,11,14,0,25,8,80,0,0,0
"6","oregon","2001-10-06","@","Arizona","W (63-28)",19,29,65.5,325,3,51,282,5.5,6,80,607,7.6,15,13,0,28,8,75,0,1,1
"7","oregon","2001-10-13","@","California","W (48-7)",15,24,62.5,206,2,51,257,5,5,75,463,6.2,9,12,2,23,10,80,2,0,2
"8","oregon","2001-10-20","","Stanford","L (42-49)",22,42,52.4,270,3,25,145,5.8,1,67,415,6.2,12,6,0,18,7,59,0,2,2
"9","oregon","2001-10-27","@","Washington State","W (24-17)",14,26,53.8,119,0,48,446,9.3,3,74,565,7.6,7,18,1,26,8,78,1,0,1
"10","oregon","2001-11-03","","Arizona State","W (42-24)",19,32,59.4,319,6,39,155,4,0,71,474,6.7,16,8,3,27,2,12,1,0,1
"11","oregon","2001-11-10","@","UCLA","W (21-20)",13,23,56.5,195,1,33,161,4.9,2,56,356,6.4,8,8,2,18,4,35,0,0,0
"12","oregon","2001-12-01","","Oregon State","W (17-14)",11,22,50,104,0,34,105,3.1,1,56,209,3.7,5,5,0,10,2,12,1,0,1
