"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","penn-state","2001-09-01","","Miami (FL)","L (7-33)",13,31,41.9,241,1,33,82,2.5,0,64,323,5,9,7,0,16,4,22,1,2,3
"3","penn-state","2001-09-22","","Wisconsin","L (6-18)",6,20,30,108,1,25,23,0.9,0,45,131,2.9,4,5,2,11,5,40,1,1,2
"4","penn-state","2001-09-29","@","Iowa","L (18-24)",20,37,54.1,161,1,27,33,1.2,0,64,194,3,8,4,3,15,7,70,1,0,1
"5","penn-state","2001-10-06","","Michigan","L (0-20)",21,38,55.3,244,0,26,25,1,0,64,269,4.2,12,2,0,14,6,50,1,2,3
"6","penn-state","2001-10-20","@","Northwestern","W (38-35)",25,47,53.2,288,2,44,213,4.8,3,91,501,5.5,13,12,1,26,6,40,0,0,0
"7","penn-state","2001-10-27","","Ohio State","W (29-27)",17,36,47.2,280,2,45,251,5.6,1,81,531,6.6,13,12,0,25,3,17,0,3,3
"8","penn-state","2001-11-03","","Southern Mississippi","W (38-20)",25,39,64.1,298,2,37,145,3.9,2,76,443,5.8,16,10,0,26,4,32,0,0,0
"9","penn-state","2001-11-10","@","Illinois","L (28-33)",11,33,33.3,148,1,34,114,3.4,1,67,262,3.9,6,9,1,16,8,65,0,4,4
"10","penn-state","2001-11-17","","Indiana","W (28-14)",17,23,73.9,278,1,38,172,4.5,3,61,450,7.4,10,9,3,22,6,48,0,1,1
"11","penn-state","2001-11-24","@","Michigan State","W (42-37)",15,29,51.7,305,1,35,95,2.7,5,64,400,6.3,11,4,3,18,2,10,0,1,1
"12","penn-state","2001-12-01","@","Virginia","L (14-20)",12,28,42.9,136,1,39,164,4.2,1,67,300,4.5,8,9,1,18,3,30,1,4,5
