"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","purdue","2001-09-02","@","Cincinnati","W (19-14)",14,25,56,117,0,38,153,4,2,63,270,4.3,6,5,3,14,11,105,1,0,1
"3","purdue","2001-09-22","","Akron","W (33-14)",22,41,53.7,292,2,36,179,5,2,77,471,6.1,11,8,2,21,9,84,0,2,2
"4","purdue","2001-09-29","@","Minnesota","W (35-28)",23,37,62.2,337,4,39,151,3.9,0,76,488,6.4,15,7,2,24,7,61,0,2,2
"5","purdue","2001-10-06","","Iowa","W (23-14)",17,34,50,147,0,30,70,2.3,1,64,217,3.4,8,1,2,11,8,59,1,1,2
"6","purdue","2001-10-13","@","Michigan","L (10-24)",16,33,48.5,198,1,37,57,1.5,0,70,255,3.6,8,3,1,12,15,105,1,0,1
"7","purdue","2001-10-27","","Northwestern","W (32-27)",14,31,45.2,190,1,48,172,3.6,2,79,362,4.6,10,9,2,21,4,36,1,0,1
"8","purdue","2001-11-03","","Illinois","L (13-38)",20,39,51.3,178,1,37,62,1.7,0,76,240,3.2,9,5,1,15,7,68,2,2,4
"9","purdue","2001-11-10","@","Ohio State","L (9-35)",12,27,44.4,140,0,32,71,2.2,1,59,211,3.6,9,2,1,12,6,50,0,3,3
"10","purdue","2001-11-17","","Michigan State","W (24-14)",13,21,61.9,126,0,49,140,2.9,2,70,266,3.8,6,6,1,13,5,35,2,0,2
"11","purdue","2001-11-24","@","Indiana","L (7-13)",31,62,50,263,1,18,-8,-0.4,0,80,255,3.2,17,1,3,21,3,35,2,0,2
"12","purdue","2001-12-01","","Notre Dame","L (18-24)",24,52,46.2,258,1,33,74,2.2,0,85,332,3.9,15,3,4,22,11,74,1,3,4
