"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","rutgers","2001-08-30","@","Buffalo","W (31-15)",11,23,47.8,157,2,45,196,4.4,1,68,353,5.2,6,9,0,15,10,59,1,2,3
"3","rutgers","2001-09-08","@","Miami (FL)","L (0-61)",9,22,40.9,62,0,40,64,1.6,0,62,126,2,3,2,6,11,12,67,5,1,6
"4","rutgers","2001-09-22","","Virginia Tech","L (0-50)",12,24,50,70,0,38,32,0.8,0,62,102,1.6,4,2,5,11,11,78,2,4,6
"5","rutgers","2001-09-29","","Connecticut","L (19-20)",12,28,42.9,132,2,50,130,2.6,0,78,262,3.4,8,7,3,18,11,125,1,2,3
"6","rutgers","2001-10-06","","Syracuse","L (17-24)",19,34,55.9,224,1,40,194,4.9,1,74,418,5.6,8,8,0,16,6,50,0,1,1
"7","rutgers","2001-10-13","@","Temple","L (5-30)",17,41,41.5,171,0,32,32,1,0,73,203,2.8,6,5,2,13,8,66,3,3,6
"8","rutgers","2001-10-20","","Navy","W (23-17)",13,20,65,327,3,45,206,4.6,0,65,533,8.2,8,10,0,18,18,143,1,1,2
"9","rutgers","2001-11-03","@","West Virginia","L (7-80)",4,15,26.7,27,0,57,150,2.6,1,72,177,2.5,1,11,3,15,7,42,4,4,8
"10","rutgers","2001-11-10","","Pittsburgh","L (0-42)",11,24,45.8,64,0,34,48,1.4,0,58,112,1.9,4,5,0,9,5,30,2,0,2
"11","rutgers","2001-11-17","","Boston College","L (7-38)",9,24,37.5,132,0,38,51,1.3,0,62,183,3,4,5,0,9,6,37,2,1,3
"12","rutgers","2001-11-23","","California","L (10-20)",11,27,40.7,142,1,35,47,1.3,0,62,189,3,5,4,1,10,14,105,0,2,2
