"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","southern-methodist","2001-09-01","@","Louisiana Tech","L (6-36)",25,54,46.3,216,0,32,70,2.2,0,86,286,3.3,11,7,5,23,9,66,2,1,3
"3","southern-methodist","2001-09-08","","Texas Christian","L (10-38)",14,30,46.7,109,1,30,39,1.3,0,60,148,2.5,5,3,1,9,5,45,2,1,3
"4","southern-methodist","2001-09-22","","North Carolina State","L (17-26)",13,23,56.5,151,2,44,165,3.8,0,67,316,4.7,4,12,3,19,12,97,2,1,3
"5","southern-methodist","2001-10-06","","Hawaii","L (31-38)",11,25,44,256,3,34,101,3,0,59,357,6.1,7,7,1,15,4,36,4,1,5
"6","southern-methodist","2001-10-13","@","San Jose State","W (24-17)",4,13,30.8,44,0,55,347,6.3,2,68,391,5.8,3,18,2,23,4,38,1,0,1
"7","southern-methodist","2001-10-27","","Texas-El Paso","W (40-14)",13,18,72.2,165,1,49,261,5.3,4,67,426,6.4,7,10,2,19,12,80,2,0,2
"8","southern-methodist","2001-11-03","@","Nevada","L (14-35)",19,37,51.4,149,0,45,186,4.1,2,82,335,4.1,9,14,3,26,5,49,2,2,4
"9","southern-methodist","2001-11-10","","Fresno State","L (13-38)",15,29,51.7,104,0,42,96,2.3,0,71,200,2.8,6,7,1,14,4,25,2,2,4
"10","southern-methodist","2001-11-17","@","Tulsa","W (24-14)",8,14,57.1,84,0,52,218,4.2,2,66,302,4.6,3,13,0,16,6,50,1,2,3
"11","southern-methodist","2001-11-24","","Rice","W (37-20)",17,31,54.8,247,3,37,141,3.8,2,68,388,5.7,10,9,1,20,6,50,0,1,1
"12","southern-methodist","2001-12-01","@","North Carolina","L (10-19)",20,31,64.5,202,0,32,96,3,1,63,298,4.7,12,6,0,18,10,80,0,0,0
