"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","san-jose-state","2001-09-01","@","Southern California","L (10-21)",20,37,54.1,213,0,30,115,3.8,1,67,328,4.9,9,6,2,17,7,35,1,2,3
"3","san-jose-state","2001-09-08","@","Colorado","L (15-51)",22,41,53.7,180,1,27,125,4.6,1,68,305,4.5,9,7,3,19,6,44,0,2,2
"4","san-jose-state","2001-09-29","@","Arizona State","L (15-53)",24,40,60,272,1,24,63,2.6,1,64,335,5.2,14,4,3,21,7,56,3,2,5
"5","san-jose-state","2001-10-06","@","Louisiana Tech","L (20-41)",12,27,44.4,192,1,42,206,4.9,1,69,398,5.8,9,9,1,19,3,24,0,3,3
"6","san-jose-state","2001-10-13","","Southern Methodist","L (17-24)",13,30,43.3,176,2,42,148,3.5,0,72,324,4.5,6,10,2,18,7,49,1,0,1
"7","san-jose-state","2001-10-20","@","Texas-El Paso","W (40-28)",20,37,54.1,366,3,48,148,3.1,2,85,514,6,15,11,1,27,15,94,1,3,4
"8","san-jose-state","2001-10-27","","Tulsa","W (63-27)",22,34,64.7,282,2,41,464,11.3,6,75,746,9.9,13,12,1,26,10,82,1,1,2
"9","san-jose-state","2001-11-03","@","Hawaii","L (10-34)",24,47,51.1,251,0,40,124,3.1,1,87,375,4.3,12,7,1,20,11,78,0,3,3
"10","san-jose-state","2001-11-10","","Nevada","W (64-45)",23,28,82.1,534,6,55,315,5.7,3,83,849,10.2,17,14,4,35,12,132,0,0,0
"11","san-jose-state","2001-11-17","@","Boise State","L (6-56)",13,33,39.4,129,1,30,54,1.8,0,63,183,2.9,5,4,3,12,4,19,1,2,3
"12","san-jose-state","2001-11-23","@","Fresno State","L (21-40)",26,41,63.4,450,3,27,42,1.6,0,68,492,7.2,13,5,3,21,7,45,2,4,6
"13","san-jose-state","2001-12-01","","Stanford","L (14-41)",21,42,50,279,2,38,30,0.8,0,80,309,3.9,12,6,2,20,2,28,1,1,2
