"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","south-carolina","2001-09-01","","Boise State","W (32-13)",18,26,69.2,220,1,41,172,4.2,2,67,392,5.9,10,7,3,20,2,11,1,0,1
"3","south-carolina","2001-09-08","@","Georgia","W (14-9)",19,29,65.5,193,1,36,43,1.2,1,65,236,3.6,10,3,0,13,4,23,1,0,1
"4","south-carolina","2001-09-20","@","Mississippi State","W (16-14)",7,16,43.8,60,0,46,238,5.2,1,62,298,4.8,2,13,0,15,7,50,0,0,0
"5","south-carolina","2001-09-29","","Alabama","W (37-36)",19,34,55.9,291,3,23,68,3,2,57,359,6.3,9,5,3,17,5,42,2,0,2
"6","south-carolina","2001-10-06","","Kentucky","W (42-6)",12,19,63.2,165,2,43,237,5.5,4,62,402,6.5,8,10,3,21,8,76,0,0,0
"7","south-carolina","2001-10-13","@","Arkansas","L (7-10)",12,32,37.5,159,0,28,113,4,1,60,272,4.5,7,5,0,12,12,74,0,2,2
"8","south-carolina","2001-10-20","","Vanderbilt","W (46-14)",17,27,63,300,3,63,356,5.7,3,90,656,7.3,11,23,0,34,10,78,0,1,1
"9","south-carolina","2001-10-27","@","Tennessee","L (10-17)",14,28,50,108,1,33,157,4.8,0,61,265,4.3,4,8,2,14,10,50,1,0,1
"10","south-carolina","2001-11-03","","Wofford","W (38-14)",20,30,66.7,209,0,40,247,6.2,5,70,456,6.5,10,14,2,26,3,21,1,1,2
"11","south-carolina","2001-11-10","","Florida","L (17-54)",7,17,41.2,57,1,43,207,4.8,1,60,264,4.4,3,11,0,14,4,32,0,2,2
"12","south-carolina","2001-11-17","","Clemson","W (20-15)",14,24,58.3,152,0,55,215,3.9,2,79,367,4.6,5,12,2,19,8,86,0,1,1
