"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","syracuse","2001-08-26","N","Georgia Tech","L (7-13)",19,32,59.4,183,0,26,59,2.3,1,58,242,4.2,8,4,1,13,8,49,0,1,1
"3","syracuse","2001-09-01","@","Tennessee","L (9-33)",6,21,28.6,115,1,42,75,1.8,0,63,190,3,2,8,2,12,10,72,2,1,3
"4","syracuse","2001-09-08","","Central Florida","W (21-10)",9,18,50,155,0,53,205,3.9,3,71,360,5.1,6,15,0,21,7,70,0,1,1
"5","syracuse","2001-09-22","","Auburn","W (31-14)",6,15,40,74,0,52,239,4.6,4,67,313,4.7,3,12,3,18,7,55,0,0,0
"6","syracuse","2001-09-29","","East Carolina","W (44-30)",18,29,62.1,312,4,47,108,2.3,2,76,420,5.5,15,5,2,22,10,74,1,2,3
"7","syracuse","2001-10-06","@","Rutgers","W (24-17)",7,17,41.2,100,1,48,354,7.4,2,65,454,7,3,15,1,19,7,60,1,1,2
"8","syracuse","2001-10-13","@","Pittsburgh","W (42-10)",11,20,55,139,1,49,172,3.5,4,69,311,4.5,5,9,1,15,11,84,1,1,2
"9","syracuse","2001-10-20","","Temple","W (45-3)",12,21,57.1,308,2,47,163,3.5,4,68,471,6.9,10,9,1,20,9,81,1,0,1
"10","syracuse","2001-10-27","@","Virginia Tech","W (22-14)",6,17,35.3,52,0,53,168,3.2,1,70,220,3.1,3,10,1,14,7,55,0,0,0
"11","syracuse","2001-11-10","","West Virginia","W (24-13)",10,18,55.6,86,0,51,126,2.5,3,69,212,3.1,3,8,0,11,9,76,0,0,0
"12","syracuse","2001-11-17","@","Miami (FL)","L (0-59)",10,20,50,80,0,46,105,2.3,0,66,185,2.8,2,8,2,12,8,66,1,1,2
"13","syracuse","2001-11-24","","Boston College","W (39-28)",16,21,76.2,253,1,66,322,4.9,4,87,575,6.6,10,18,2,30,7,55,0,0,0
