"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","temple","2001-08-30","","Navy","W (45-26)",15,22,68.2,175,3,54,285,5.3,2,76,460,6.1,5,19,2,26,10,87,1,1,2
"3","temple","2001-09-08","","Toledo","L (7-33)",13,31,41.9,166,1,22,-27,-1.2,0,53,139,2.6,5,0,7,12,13,98,2,3,5
"4","temple","2001-09-22","@","Bowling Green State","L (23-42)",26,51,51,327,2,32,29,0.9,0,83,356,4.3,13,4,1,18,11,83,1,3,4
"5","temple","2001-10-06","@","Boston College","L (10-23)",15,32,46.9,151,0,36,57,1.6,1,68,208,3.1,8,4,5,17,9,62,0,1,1
"6","temple","2001-10-13","","Rutgers","W (30-5)",10,23,43.5,170,2,45,193,4.3,0,68,363,5.3,7,8,1,16,10,95,2,1,3
"7","temple","2001-10-20","@","Syracuse","L (3-45)",11,22,50,111,0,40,74,1.9,0,62,185,3,5,5,1,11,4,31,1,1,2
"8","temple","2001-10-27","","Pittsburgh","L (7-33)",27,52,51.9,240,0,30,-36,-1.2,1,82,204,2.5,13,4,1,18,9,47,3,0,3
"9","temple","2001-11-03","@","Miami (FL)","L (0-38)",6,14,42.9,34,0,45,118,2.6,0,59,152,2.6,3,8,0,11,9,81,2,1,3
"10","temple","2001-11-10","","Virginia Tech","L (0-35)",14,45,31.1,177,0,27,60,2.2,0,72,237,3.3,10,2,1,13,8,45,2,4,6
"11","temple","2001-11-17","@","West Virginia","W (17-14)",8,19,42.1,85,0,50,205,4.1,1,69,290,4.2,3,9,5,17,8,72,2,0,2
"12","temple","2001-11-24","","Connecticut","W (56-7)",14,19,73.7,205,4,42,339,8.1,3,61,544,8.9,9,9,2,20,9,82,1,0,1
