"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","tennessee","2001-09-01","","Syracuse","W (33-9)",14,27,51.9,136,1,39,197,5.1,3,66,333,5,4,9,1,14,6,50,2,1,3
"3","tennessee","2001-09-08","@","Arkansas","W (13-3)",13,17,76.5,136,0,55,183,3.3,1,72,319,4.4,6,14,0,20,6,57,1,0,1
"4","tennessee","2001-09-29","","Louisiana State","W (26-18)",18,28,64.3,309,1,49,139,2.8,2,77,448,5.8,13,6,2,21,5,36,0,2,2
"5","tennessee","2001-10-06","","Georgia","L (24-26)",24,40,60,295,3,42,197,4.7,0,82,492,6,13,8,1,22,7,50,0,1,1
"6","tennessee","2001-10-20","@","Alabama","W (35-24)",21,28,75,293,2,45,187,4.2,3,73,480,6.6,14,7,2,23,6,55,0,0,0
"7","tennessee","2001-10-27","","South Carolina","W (17-10)",14,23,60.9,211,0,39,87,2.2,2,62,298,4.8,9,5,1,15,6,60,0,1,1
"8","tennessee","2001-11-03","@","Notre Dame","W (28-18)",17,29,58.6,228,1,34,78,2.3,2,63,306,4.9,12,3,1,16,8,56,1,1,2
"9","tennessee","2001-11-10","","Memphis","W (49-28)",24,39,61.5,302,5,43,218,5.1,1,82,520,6.3,14,12,2,28,12,85,0,1,1
"10","tennessee","2001-11-17","@","Kentucky","W (38-35)",20,30,66.7,285,4,23,82,3.6,0,53,367,6.9,10,4,1,15,5,45,0,0,0
"11","tennessee","2001-11-24","","Vanderbilt","W (38-0)",21,31,67.7,285,2,35,189,5.4,1,66,474,7.2,11,10,0,21,10,96,2,0,2
"12","tennessee","2001-12-01","@","Florida","W (34-32)",17,25,68,168,1,31,242,7.8,4,56,410,7.3,5,10,1,16,5,45,1,2,3
"13","tennessee","2001-12-08","N","Louisiana State","L (20-31)",27,43,62.8,332,2,18,50,2.8,0,61,382,6.3,13,3,1,17,10,78,2,0,2
