"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","texas-am","2001-09-01","","McNeese State","W (38-24)",24,40,60,254,1,35,120,3.4,3,75,374,5,10,7,4,21,10,67,1,1,2
"3","texas-am","2001-09-06","@","Wyoming","W (28-20)",30,42,71.4,341,1,42,166,4,3,84,507,6,17,8,1,26,11,82,0,1,1
"4","texas-am","2001-09-22","","Oklahoma State","W (21-7)",14,25,56,92,1,42,148,3.5,1,67,240,3.6,4,10,1,15,4,36,1,1,2
"5","texas-am","2001-09-29","","Notre Dame","W (24-3)",15,27,55.6,177,1,40,133,3.3,1,67,310,4.6,9,6,2,17,2,25,0,0,0
"6","texas-am","2001-10-06","","Baylor","W (16-10)",21,36,58.3,260,0,46,116,2.5,1,82,376,4.6,10,10,1,21,8,69,2,0,2
"7","texas-am","2001-10-13","@","Colorado","L (21-31)",30,50,60,334,3,19,42,2.2,0,69,376,5.4,15,4,0,19,6,34,1,2,3
"8","texas-am","2001-10-20","@","Kansas State","W (31-24)",11,20,55,138,2,32,51,1.6,1,52,189,3.6,6,3,0,9,5,43,0,0,0
"9","texas-am","2001-10-27","","Iowa State","W (24-21)",11,21,52.4,132,0,35,190,5.4,3,56,322,5.8,5,8,1,14,6,65,0,1,1
"10","texas-am","2001-11-03","@","Texas Tech","L (0-12)",22,31,71,206,0,38,166,4.4,0,69,372,5.4,10,8,0,18,6,61,1,1,2
"11","texas-am","2001-11-10","@","Oklahoma","L (10-31)",11,23,47.8,58,0,27,74,2.7,0,50,132,2.6,3,2,0,5,3,38,0,0,0
"12","texas-am","2001-11-23","","Texas","L (7-21)",17,38,44.7,117,0,31,48,1.5,1,69,165,2.4,6,3,1,10,6,45,0,2,2
