"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","texas","2001-09-01","","New Mexico State","W (41-7)",21,38,55.3,228,2,45,171,3.8,2,83,399,4.8,13,9,2,24,3,35,0,0,0
"3","texas","2001-09-08","","North Carolina","W (44-14)",17,37,45.9,167,0,35,159,4.5,3,72,326,4.5,10,7,2,19,8,81,2,0,2
"4","texas","2001-09-22","@","Houston","W (53-26)",22,37,59.5,341,4,39,193,4.9,3,76,534,7,14,11,2,27,6,58,1,1,2
"5","texas","2001-09-29","","Texas Tech","W (42-7)",21,26,80.8,224,1,43,209,4.9,5,69,433,6.3,11,10,2,23,4,30,0,1,1
"6","texas","2001-10-06","N","Oklahoma","L (3-14)",24,42,57.1,198,0,25,27,1.1,0,67,225,3.4,9,4,2,15,5,35,0,4,4
"7","texas","2001-10-13","@","Oklahoma State","W (45-17)",19,31,61.3,238,5,52,241,4.6,1,83,479,5.8,11,14,1,26,7,45,1,1,2
"8","texas","2001-10-20","","Colorado","W (41-7)",21,33,63.6,264,3,40,161,4,2,73,425,5.8,12,8,5,25,5,40,0,0,0
"9","texas","2001-10-27","@","Missouri","W (35-16)",24,30,80,229,4,46,192,4.2,1,76,421,5.5,9,15,1,25,8,64,0,0,0
"10","texas","2001-11-03","@","Baylor","W (49-10)",17,32,53.1,276,2,42,130,3.1,4,74,406,5.5,11,9,0,20,2,14,0,1,1
"11","texas","2001-11-10","","Kansas","W (59-0)",18,28,64.3,330,3,51,276,5.4,4,79,606,7.7,13,13,0,26,7,90,0,1,1
"12","texas","2001-11-23","@","Texas A&M","W (21-7)",16,33,48.5,138,0,35,97,2.8,2,68,235,3.5,7,6,1,14,6,49,0,0,0
"13","texas","2001-12-01","N","Colorado","L (37-39)",24,43,55.8,370,2,23,92,4,1,66,462,7,14,5,3,22,5,35,1,3,4
