"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","tulane","2001-08-25","@","Brigham Young","L (35-70)",23,49,46.9,289,3,43,219,5.1,2,92,508,5.5,13,13,1,27,5,35,0,1,1
"3","tulane","2001-09-01","@","Louisiana State","L (17-48)",25,47,53.2,343,2,26,48,1.8,0,73,391,5.4,17,2,2,21,3,16,2,1,3
"4","tulane","2001-09-08","","East Carolina","L (24-51)",29,53,54.7,288,3,38,141,3.7,0,91,429,4.7,15,11,2,28,5,19,2,2,4
"5","tulane","2001-09-22","","Central Florida","L (29-36)",30,47,63.8,280,2,31,126,4.1,1,78,406,5.2,14,8,0,22,5,45,0,0,0
"6","tulane","2001-09-29","","Southern","W (41-7)",19,40,47.5,277,2,45,216,4.8,1,85,493,5.8,10,13,3,26,7,71,0,0,0
"7","tulane","2001-10-06","@","Cincinnati","L (33-46)",24,46,52.2,253,2,41,282,6.9,2,87,535,6.1,15,14,0,29,2,17,1,2,3
"8","tulane","2001-10-13","","Texas Christian","W (48-22)",21,31,67.7,355,4,35,116,3.3,1,66,471,7.1,16,5,0,21,5,55,0,1,1
"9","tulane","2001-10-20","@","Alabama-Birmingham","L (27-34)",23,40,57.5,197,2,22,8,0.4,0,62,205,3.3,10,2,2,14,5,35,0,1,1
"10","tulane","2001-10-27","@","Army","L (35-42)",25,39,64.1,384,3,46,135,2.9,2,85,519,6.1,16,8,3,27,1,11,3,1,4
"11","tulane","2001-11-03","","Louisville","L (7-52)",20,37,54.1,220,1,26,19,0.7,0,63,239,3.8,10,1,2,13,4,40,0,2,2
"12","tulane","2001-11-10","@","Navy","W (42-28)",36,49,73.5,442,3,27,137,5.1,2,76,579,7.6,19,7,0,26,7,70,2,1,3
"13","tulane","2001-11-17","@","Southern Mississippi","L (6-59)",19,34,55.9,170,0,36,155,4.3,1,70,325,4.6,7,6,1,14,10,56,1,2,3
