"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","ucla","2001-09-01","@","Alabama","W (20-17)",8,22,36.4,123,1,38,168,4.4,1,60,291,4.9,5,6,2,13,0,0,0,0,0
"3","ucla","2001-09-08","@","Kansas","W (41-17)",13,19,68.4,183,1,61,292,4.8,3,80,475,5.9,7,19,4,30,12,81,3,0,3
"4","ucla","2001-09-22","","Ohio State","W (13-6)",16,26,61.5,262,1,41,61,1.5,0,67,323,4.8,13,4,1,18,4,30,4,0,4
"5","ucla","2001-09-29","@","Oregon State","W (38-7)",14,28,50,228,2,54,268,5,3,82,496,6,6,16,0,22,6,70,1,0,1
"6","ucla","2001-10-13","","Washington","W (35-13)",9,19,47.4,128,0,45,325,7.2,4,64,453,7.1,7,10,2,19,5,42,3,0,3
"7","ucla","2001-10-20","","California","W (56-17)",15,19,78.9,303,3,38,228,6,4,57,531,9.3,11,12,3,26,12,96,0,0,0
"8","ucla","2001-10-27","@","Stanford","L (28-38)",20,44,45.5,326,2,25,57,2.3,1,69,383,5.6,14,3,0,17,9,86,2,2,4
"9","ucla","2001-11-03","@","Washington State","L (14-20)",10,27,37,140,0,33,85,2.6,1,60,225,3.8,7,3,2,12,11,80,2,5,7
"10","ucla","2001-11-10","","Oregon","L (20-21)",14,22,63.6,321,0,49,120,2.4,2,71,441,6.2,13,7,1,21,3,40,0,2,2
"11","ucla","2001-11-17","@","Southern California","L (0-27)",13,28,46.4,86,0,27,28,1,0,55,114,2.1,4,3,3,10,8,76,1,3,4
"12","ucla","2001-12-01","","Arizona State","W (52-42)",21,38,55.3,299,3,48,237,4.9,4,86,536,6.2,15,9,3,27,4,55,0,1,1
