"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","nevada-las-vegas","2001-08-30","@","Arkansas","L (10-14)",4,16,25,40,1,54,258,4.8,0,70,298,4.3,2,8,1,11,10,65,1,3,4
"3","nevada-las-vegas","2001-09-07","","Northwestern","L (28-37)",18,39,46.2,304,2,41,149,3.6,2,80,453,5.7,13,7,4,24,6,84,1,1,2
"4","nevada-las-vegas","2001-09-22","@","Arizona","L (21-38)",7,20,35,156,1,37,124,3.4,1,57,280,4.9,6,4,1,11,12,105,2,0,2
"5","nevada-las-vegas","2001-09-29","","Brigham Young","L (31-35)",11,18,61.1,132,0,49,189,3.9,3,67,321,4.8,7,10,1,18,3,34,1,2,3
"6","nevada-las-vegas","2001-10-06","@","Nevada","W (27-12)",6,15,40,80,0,50,313,6.3,3,65,393,6,4,9,1,14,8,61,1,1,2
"7","nevada-las-vegas","2001-10-13","","San Diego State","W (31-3)",12,19,63.2,153,2,56,274,4.9,1,75,427,5.7,8,14,1,23,9,74,0,1,1
"8","nevada-las-vegas","2001-10-20","","Colorado State","L (24-26)",8,21,38.1,173,1,57,255,4.5,2,78,428,5.5,6,13,1,20,7,45,4,0,4
"9","nevada-las-vegas","2001-10-27","@","Wyoming","W (47-26)",8,17,47.1,129,3,53,439,8.3,3,70,568,8.1,5,19,1,25,9,80,1,2,3
"10","nevada-las-vegas","2001-11-03","","Utah","L (14-42)",8,21,38.1,118,0,26,38,1.5,0,47,156,3.3,6,1,0,7,3,25,1,1,2
"11","nevada-las-vegas","2001-11-10","@","New Mexico","L (17-27)",12,28,42.9,159,1,42,107,2.5,1,70,266,3.8,7,5,3,15,5,55,1,1,2
"12","nevada-las-vegas","2001-11-17","@","Air Force","W (34-10)",7,19,36.8,138,0,42,215,5.1,3,61,353,5.8,6,10,0,16,1,15,2,1,3
