"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","texas-el-paso","2001-09-01","@","New Mexico","L (6-26)",19,32,59.4,223,1,27,-53,-2,0,59,170,2.9,10,1,2,13,9,74,3,2,5
"3","texas-el-paso","2001-09-08","","Texas Southern","W (52-6)",10,28,35.7,122,1,51,305,6,5,79,427,5.4,6,15,2,23,13,90,0,2,2
"4","texas-el-paso","2001-09-22","@","Boise State","L (17-42)",16,28,57.1,153,2,42,160,3.8,0,70,313,4.5,7,9,0,16,9,78,0,2,2
"5","texas-el-paso","2001-09-29","","Tulsa","W (26-10)",20,30,66.7,249,0,53,208,3.9,3,83,457,5.5,11,13,1,25,12,92,1,0,1
"6","texas-el-paso","2001-10-06","@","Alabama","L (7-56)",8,19,42.1,99,0,29,133,4.6,1,48,232,4.8,3,4,0,7,5,40,2,1,3
"7","texas-el-paso","2001-10-13","@","Hawaii","L (7-66)",10,31,32.3,86,0,45,158,3.5,1,76,244,3.2,3,10,1,14,9,66,2,3,5
"8","texas-el-paso","2001-10-20","","San Jose State","L (28-40)",21,37,56.8,358,3,27,93,3.4,0,64,451,7,14,6,0,20,5,35,4,1,5
"9","texas-el-paso","2001-10-27","@","Southern Methodist","L (14-40)",13,25,52,136,0,32,46,1.4,2,57,182,3.2,3,3,1,7,4,25,0,1,1
"10","texas-el-paso","2001-11-10","","Louisiana Tech","L (30-53)",19,31,61.3,238,0,38,189,5,4,69,427,6.2,13,7,2,22,2,7,2,2,4
"11","texas-el-paso","2001-11-17","@","Rice","L (17-27)",16,33,48.5,227,1,21,86,4.1,1,54,313,5.8,8,4,1,13,10,81,1,2,3
"12","texas-el-paso","2001-11-24","","Nevada","L (31-48)",17,25,68,217,2,34,188,5.5,1,59,405,6.9,6,11,2,19,10,88,0,0,0
