"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","utah","2001-09-01","","Utah State","W (23-19)",16,33,48.5,147,0,46,213,4.6,2,79,360,4.6,6,12,1,19,5,30,1,0,1
"3","utah","2001-09-08","@","Oregon","L (10-24)",25,51,49,252,0,35,121,3.5,1,86,373,4.3,12,5,4,21,10,89,0,1,1
"4","utah","2001-09-22","@","Indiana","W (28-26)",21,29,72.4,278,2,43,169,3.9,2,72,447,6.2,18,8,0,26,8,55,1,0,1
"5","utah","2001-09-29","","New Mexico","W (37-16)",15,30,50,210,1,48,255,5.3,4,78,465,6,8,11,1,20,7,59,1,1,2
"6","utah","2001-10-06","","South Florida","W (52-21)",17,24,70.8,264,4,49,245,5,2,73,509,7,11,10,3,24,13,158,0,1,1
"7","utah","2001-10-20","","Wyoming","W (35-0)",17,25,68,275,3,45,190,4.2,2,70,465,6.6,11,8,0,19,7,60,0,2,2
"8","utah","2001-10-27","@","Colorado State","L (17-19)",18,41,43.9,214,2,37,228,6.2,0,78,442,5.7,9,11,2,22,3,15,1,1,2
"9","utah","2001-11-03","@","Nevada-Las Vegas","W (42-14)",13,21,61.9,180,3,55,212,3.9,3,76,392,5.2,9,13,0,22,3,30,0,2,2
"10","utah","2001-11-10","","San Diego State","W (17-3)",10,20,50,138,1,45,225,5,1,65,363,5.6,6,9,1,16,7,72,0,0,0
"11","utah","2001-11-17","@","Brigham Young","L (21-24)",16,32,50,189,1,46,168,3.7,2,78,357,4.6,10,10,3,23,5,26,1,1,2
"12","utah","2001-12-01","@","Air Force","L (37-38)",12,22,54.5,161,1,56,382,6.8,4,78,543,7,8,19,1,28,6,49,1,2,3
