"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","vanderbilt","2001-08-30","","Middle Tennessee State","L (28-37)",13,32,40.6,300,2,28,177,6.3,2,60,477,8,8,9,0,17,11,83,0,0,0
"3","vanderbilt","2001-09-08","","Alabama","L (9-12)",17,35,48.6,253,0,35,143,4.1,0,70,396,5.7,8,11,1,20,6,33,1,0,1
"4","vanderbilt","2001-09-22","","Richmond","W (28-22)",20,32,62.5,236,2,26,116,4.5,2,58,352,6.1,8,6,2,16,7,44,1,0,1
"5","vanderbilt","2001-09-29","","Auburn","L (21-24)",20,43,46.5,162,1,37,168,4.5,2,80,330,4.1,8,8,2,18,5,50,1,1,2
"6","vanderbilt","2001-10-13","","Georgia","L (14-30)",24,50,48,316,1,38,120,3.2,1,88,436,5,13,9,1,23,9,79,1,0,1
"7","vanderbilt","2001-10-20","@","South Carolina","L (14-46)",7,20,35,126,1,28,68,2.4,1,48,194,4,4,4,0,8,7,44,0,2,2
"8","vanderbilt","2001-10-27","@","Duke","W (42-28)",9,19,47.4,175,2,40,338,8.5,4,59,513,8.7,4,12,0,16,7,86,2,0,2
"9","vanderbilt","2001-11-03","@","Florida","L (13-71)",15,30,50,209,0,38,63,1.7,2,68,272,4,8,6,0,14,3,28,3,2,5
"10","vanderbilt","2001-11-10","","Kentucky","L (30-56)",30,48,62.5,440,2,35,102,2.9,2,83,542,6.5,22,8,4,34,6,42,2,1,3
"11","vanderbilt","2001-11-24","@","Tennessee","L (0-38)",17,27,63,144,0,36,61,1.7,0,63,205,3.3,8,5,3,16,8,60,0,3,3
"12","vanderbilt","2001-12-01","@","Mississippi","L (27-38)",23,41,56.1,286,3,26,119,4.6,1,67,405,6,11,6,2,19,7,54,1,2,3
