"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","virginia","2001-08-25","@","Wisconsin","L (17-26)",13,32,40.6,178,2,33,128,3.9,0,65,306,4.7,9,6,1,16,7,79,1,2,3
"3","virginia","2001-09-01","","Richmond","W (17-16)",26,37,70.3,242,2,43,110,2.6,0,80,352,4.4,14,10,1,25,8,60,1,1,2
"4","virginia","2001-09-22","@","Clemson","W (26-24)",18,34,52.9,227,2,35,160,4.6,1,69,387,5.6,12,6,1,19,11,80,0,1,1
"5","virginia","2001-09-29","","Duke","W (31-10)",24,36,66.7,284,3,37,157,4.2,1,73,441,6,12,8,3,23,13,110,0,1,1
"6","virginia","2001-10-06","@","Maryland","L (21-41)",21,38,55.3,281,2,25,64,2.6,1,63,345,5.5,9,6,1,16,7,79,1,1,2
"7","virginia","2001-10-13","@","North Carolina","L (24-30)",33,55,60,334,3,18,71,3.9,0,73,405,5.5,15,5,3,23,4,29,0,1,1
"8","virginia","2001-10-20","","Florida State","L (7-43)",19,39,48.7,167,1,19,34,1.8,0,58,201,3.5,6,4,2,12,7,79,2,3,5
"9","virginia","2001-10-27","@","North Carolina State","L (0-24)",15,29,51.7,149,0,30,66,2.2,0,59,215,3.6,9,2,1,12,8,75,1,0,1
"10","virginia","2001-11-03","","Wake Forest","L (30-34)",28,46,60.9,287,3,33,152,4.6,0,79,439,5.6,14,7,1,22,2,17,0,1,1
"11","virginia","2001-11-10","","Georgia Tech","W (39-38)",32,46,69.6,327,5,25,134,5.4,0,71,461,6.5,14,12,1,27,8,91,1,1,2
"12","virginia","2001-11-17","","Virginia Tech","L (17-31)",21,36,58.3,261,1,28,8,0.3,1,64,269,4.2,9,5,1,15,7,62,3,2,5
"13","virginia","2001-12-01","","Penn State","W (20-14)",13,23,56.5,131,0,50,188,3.8,1,73,319,4.4,9,9,1,19,8,70,0,0,0
