"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","wake-forest","2001-09-01","@","East Carolina","W (21-19)",9,16,56.3,161,1,69,290,4.2,1,85,451,5.3,8,15,1,24,11,74,1,0,1
"3","wake-forest","2001-09-08","","Appalachian State","W (20-10)",12,19,63.2,174,1,55,209,3.8,1,74,383,5.2,9,13,0,22,6,65,3,0,3
"4","wake-forest","2001-09-22","","Maryland","L (20-27)",17,32,53.1,216,1,46,163,3.5,1,78,379,4.9,10,8,0,18,4,30,1,1,2
"5","wake-forest","2001-09-29","@","Florida State","L (24-48)",10,25,40,171,0,57,265,4.6,3,82,436,5.3,9,13,4,26,11,84,0,3,3
"6","wake-forest","2001-10-06","","North Carolina State","L (14-17)",6,18,33.3,95,0,50,221,4.4,2,68,316,4.6,4,12,1,17,11,94,2,1,3
"7","wake-forest","2001-10-13","@","Duke","W (42-35)",12,20,60,144,1,62,265,4.3,5,82,409,5,5,14,1,20,7,64,1,1,2
"8","wake-forest","2001-10-27","","Clemson","L (14-21)",8,16,50,151,0,60,193,3.2,2,76,344,4.5,7,13,4,24,3,30,1,2,3
"9","wake-forest","2001-11-03","@","Virginia","W (34-30)",12,19,63.2,233,1,51,248,4.9,2,70,481,6.9,8,14,0,22,5,55,1,2,3
"10","wake-forest","2001-11-10","@","North Carolina","W (32-31)",14,24,58.3,142,0,58,212,3.7,4,82,354,4.3,8,13,3,24,2,19,0,1,1
"11","wake-forest","2001-11-17","","Georgia Tech","L (33-38)",18,39,46.2,210,0,43,140,3.3,3,82,350,4.3,11,8,4,23,5,45,1,2,3
"12","wake-forest","2001-11-24","","Northern Illinois","W (38-35)",13,24,54.2,157,2,58,232,4,3,82,389,4.7,6,19,2,27,9,85,0,1,1
