"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","washington","2001-09-08","","Michigan","W (23-18)",13,22,59.1,199,0,35,69,2,0,57,268,4.7,6,5,2,13,5,37,0,0,0
"3","washington","2001-09-22","","Idaho","W (53-3)",19,26,73.1,222,1,45,212,4.7,3,71,434,6.1,12,10,0,22,9,100,1,1,2
"4","washington","2001-09-29","@","California","W (31-28)",18,33,54.5,290,2,45,116,2.6,2,78,406,5.2,10,6,1,17,8,76,0,0,0
"5","washington","2001-10-06","","Southern California","W (27-24)",19,34,55.9,267,3,41,174,4.2,0,75,441,5.9,12,10,0,22,10,77,1,1,2
"6","washington","2001-10-13","@","UCLA","L (13-35)",23,46,50,340,1,28,-8,-0.3,1,74,332,4.5,17,0,1,18,7,60,2,1,3
"7","washington","2001-10-20","","Arizona","W (31-28)",29,49,59.2,455,3,28,83,3,1,77,538,7,19,6,1,26,11,95,1,4,5
"8","washington","2001-10-27","@","Arizona State","W (33-31)",19,36,52.8,252,2,41,188,4.6,2,77,440,5.7,13,11,3,27,6,46,0,1,1
"9","washington","2001-11-03","","Stanford","W (42-28)",15,28,53.6,291,1,39,130,3.3,5,67,421,6.3,11,8,0,19,6,39,2,0,2
"10","washington","2001-11-10","@","Oregon State","L (24-49)",17,41,41.5,193,1,30,88,2.9,2,71,281,4,8,7,4,19,9,78,1,1,2
"11","washington","2001-11-17","","Washington State","W (26-14)",25,38,65.8,371,1,41,79,1.9,2,79,450,5.7,18,4,3,25,11,99,1,1,2
"12","washington","2001-11-24","@","Miami (FL)","L (7-65)",17,36,47.2,194,0,45,98,2.2,1,81,292,3.6,12,7,3,22,10,60,1,6,7
