"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","western-michigan","2001-08-30","","Illinois State","W (48-7)",31,43,72.1,462,6,29,151,5.2,1,72,613,8.5,20,9,0,29,4,29,2,0,2
"3","western-michigan","2001-09-08","@","Virginia Tech","L (0-31)",15,31,48.4,132,0,23,34,1.5,0,54,166,3.1,6,1,0,7,13,103,0,1,1
"4","western-michigan","2001-09-22","@","Michigan","L (21-38)",36,58,62.1,374,2,25,13,0.5,1,83,387,4.7,15,5,4,24,9,76,0,2,2
"5","western-michigan","2001-09-29","@","Eastern Michigan","W (31-10)",21,35,60,205,1,36,158,4.4,2,71,363,5.1,10,7,1,18,8,62,2,1,3
"6","western-michigan","2001-10-06","","Akron","W (31-14)",26,42,61.9,353,2,31,140,4.5,2,73,493,6.8,15,8,3,26,5,39,0,1,1
"7","western-michigan","2001-10-13","","Bowling Green State","W (37-28)",28,42,66.7,333,3,32,58,1.8,0,74,391,5.3,16,5,6,27,13,102,1,0,1
"8","western-michigan","2001-10-20","@","Northern Illinois","L (12-20)",15,32,46.9,170,1,30,105,3.5,0,62,275,4.4,6,4,1,11,6,50,0,4,4
"9","western-michigan","2001-10-27","@","Miami (OH)","L (11-25)",9,32,28.1,75,0,34,93,2.7,1,66,168,2.5,5,4,0,9,6,41,0,2,2
"10","western-michigan","2001-11-06","@","Toledo","L (35-41)",24,35,68.6,291,4,33,89,2.7,0,68,380,5.6,12,7,2,21,4,30,3,0,3
"11","western-michigan","2001-11-17","","Central Michigan","W (20-17)",14,29,48.3,167,0,43,170,4,1,72,337,4.7,11,7,1,19,6,48,0,1,1
"12","western-michigan","2001-11-24","","Ball State","L (31-35)",19,42,45.2,274,4,36,88,2.4,0,78,362,4.6,11,8,2,21,5,40,0,0,0
