"","Team","Date","","Opponent","Result","Cmp","Att","Pct","Yds","TD","Att","Yds","Avg","TD","Plays","Yds","Avg","Pass","Rush","Pen","Tot","No.","Yds","Fum","Int","Tot"
"2","wyoming","2001-09-01","","Furman","W (20-14)",30,48,62.5,331,0,39,91,2.3,1,87,422,4.9,18,4,1,23,4,25,0,0,0
"3","wyoming","2001-09-06","","Texas A&M","L (20-28)",11,26,42.3,171,1,32,102,3.2,1,58,273,4.7,6,10,2,18,2,28,0,2,2
"4","wyoming","2001-09-22","@","Utah State","W (43-42)",22,38,57.9,422,2,34,166,4.9,2,72,588,8.2,18,7,3,28,4,45,0,0,0
"5","wyoming","2001-09-29","","Colorado State","L (14-42)",13,26,50,162,1,40,116,2.9,1,66,278,4.2,6,7,0,13,9,54,1,4,5
"6","wyoming","2001-10-06","","New Mexico","L (29-30)",21,36,58.3,364,2,31,28,0.9,1,67,392,5.9,10,5,1,16,2,10,0,3,3
"7","wyoming","2001-10-13","@","Air Force","L (13-24)",21,47,44.7,327,1,33,189,5.7,0,80,516,6.5,14,11,2,27,5,49,1,1,2
"8","wyoming","2001-10-20","@","Utah","L (0-35)",18,33,54.5,117,0,25,33,1.3,0,58,150,2.6,5,2,1,8,6,45,0,1,1
"9","wyoming","2001-10-27","","Nevada-Las Vegas","L (26-47)",33,60,55,382,1,38,72,1.9,2,98,454,4.6,21,7,3,31,5,49,2,1,3
"10","wyoming","2001-11-10","","Brigham Young","L (34-41)",24,52,46.2,358,1,37,118,3.2,3,89,476,5.3,15,7,1,23,5,45,0,1,1
"11","wyoming","2001-11-17","@","San Diego State","L (16-38)",21,40,52.5,307,0,32,57,1.8,2,72,364,5.1,11,4,2,17,8,64,3,6,9
"12","wyoming","2001-11-24","@","Kansas","L (14-27)",14,32,43.8,165,0,39,121,3.1,2,71,286,4,8,9,2,19,5,45,0,1,1
