"","Rk","Wk","Date","Day","Winner","Pts","","Loser","Pts.1"
"1","1","1","Aug 30, 2007","Thu","Boise State","56","","Non-Major","7"
"2","2","1","Aug 30, 2007","Thu","Cincinnati","59","","Non-Major","3"
"3","3","1","Aug 30, 2007","Thu","Kent State","23","@","Iowa State","14"
"4","4","1","Aug 30, 2007","Thu","Louisiana State","45","@","Mississippi State","0"
"5","5","1","Aug 30, 2007","Thu","Louisville","73","","Non-Major","10"
"6","6","1","Aug 30, 2007","Thu","Miami (OH)","14","@","Ball State","13"
"7","7","1","Aug 30, 2007","Thu","Nevada-Las Vegas","23","@","Utah State","16"
"8","8","1","Aug 30, 2007","Thu","New Mexico State","35","","Non-Major","14"
"9","9","1","Aug 30, 2007","Thu","Oregon State","24","","Utah","7"
"10","10","1","Aug 30, 2007","Thu","Rutgers","38","","Buffalo","3"
"11","11","1","Aug 30, 2007","Thu","Tulsa","35","@","Louisiana-Monroe","17"
"12","12","1","Aug 31, 2007","Fri","Navy","30","@","Temple","19"
"13","13","1","Aug 31, 2007","Fri","Washington","42","@","Syracuse","12"
"14","14","1","Sep 1, 2007","Sat","Air Force","34","","Non-Major","3"
"15","15","1","Sep 1, 2007","Sat","Akron","22","","Army","14"
"16","16","1","Sep 1, 2007","Sat","Alabama","52","","Non-Major","6"
"17","17","1","Sep 1, 2007","Sat","Non-Major","34","@","Michigan","32"
"18","18","1","Sep 1, 2007","Sat","Arizona State","45","","San Jose State","3"
"19","19","1","Sep 1, 2007","Sat","Arkansas","46","","Troy","26"
"20","20","1","Sep 1, 2007","Sat","Auburn","23","","Kansas State","13"
"21","21","1","Sep 1, 2007","Sat","Boston College","38","","Wake Forest","28"
"22","22","1","Sep 1, 2007","Sat","Bowling Green State","32","@","Minnesota","31"
"23","23","1","Sep 1, 2007","Sat","Brigham Young","20","","Arizona","7"
"24","24","1","Sep 1, 2007","Sat","California","45","","Tennessee","31"
"25","25","1","Sep 1, 2007","Sat","Central Florida","25","@","North Carolina State","23"
"26","26","1","Sep 1, 2007","Sat","Colorado","31","","Colorado State","28"
"27","27","1","Sep 1, 2007","Sat","Connecticut","45","@","Duke","14"
