"","Team","X","Opponent","Result","Date"
"1","Air Force","","Non-Major","W (63-7)",2015-09-05
"2","Air Force","","San Jose State","W (37-16)",2015-09-12
"3","Air Force","@","Michigan State","L (21-35)",2015-09-19
"4","Air Force","@","Navy","L (11-33)",2015-10-03
"5","Air Force","","Wyoming","W (31-17)",2015-10-10
"6","Air Force","@","Colorado State","L (23-38)",2015-10-17
"7","Air Force","","Fresno State","W (42-14)",2015-10-24
"8","Air Force","@","Hawaii","W (58-7)",2015-10-31
"9","Air Force","","Army","W (20-3)",2015-11-07
"10","Air Force","","Utah State","W (35-28)",2015-11-14
"11","Air Force","@","Boise State","W (37-30)",2015-11-20
"12","Air Force","@","New Mexico","L (35-47)",2015-11-28
"13","Air Force","@","San Diego State","L (24-27)",2015-12-05
"14","Air Force","N","California","L (36-55)",2015-12-29
"15","Akron","@","Oklahoma","L (3-41)",2015-09-05
"16","Akron","","Pittsburgh","L (7-24)",2015-09-12
"17","Akron","","Non-Major","W (52-9)",2015-09-19
"18","Akron","@","Louisiana","W (35-14)",2015-09-26
"19","Akron","","Ohio","L (12-14)",2015-10-03
"20","Akron","@","Eastern Michigan","W (47-21)",2015-10-10
"21","Akron","@","Bowling Green State","L (10-59)",2015-10-17
"22","Akron","","Central Michigan","L (6-14)",2015-10-31
"23","Akron","@","Massachusetts","W (17-13)",2015-11-07
"24","Akron","@","Miami (OH)","W (37-28)",2015-11-14
"25","Akron","","Buffalo","W (42-21)",2015-11-21
"26","Akron","","Kent State","W (20-0)",2015-11-27
"27","Akron","N","Utah State","W (23-21)",2015-12-22
"28","Alabama","N","Wisconsin","W (35-17)",2015-09-05
"29","Alabama","","Middle Tennessee State","W (37-10)",2015-09-12
"30","Alabama","","Mississippi","L (37-43)",2015-09-19
"31","Alabama","","Louisiana-Monroe","W (34-0)",2015-09-26
"32","Alabama","@","Georgia","W (38-10)",2015-10-03
"33","Alabama","","Arkansas","W (27-14)",2015-10-10
"34","Alabama","@","Texas A&M","W (41-23)",2015-10-17
"35","Alabama","","Tennessee","W (19-14)",2015-10-24
"36","Alabama","","Louisiana State","W (30-16)",2015-11-07
"37","Alabama","@","Mississippi State","W (31-6)",2015-11-14
"38","Alabama","","Non-Major","W (56-6)",2015-11-21
"39","Alabama","@","Auburn","W (29-13)",2015-11-28
"40","Alabama","N","Florida","W (29-15)",2015-12-05
"41","Alabama","N","Michigan State","W (38-0)",2015-12-31
"42","Alabama","N","Clemson","W (45-40)",2016-01-11
"43","Appalachian State","","Non-Major","W (49-0)",2015-09-05
"44","Appalachian State","@","Clemson","L (10-41)",2015-09-12
"45","Appalachian State","@","Old Dominion","W (49-0)",2015-09-26
"46","Appalachian State","","Wyoming","W (31-13)",2015-10-03
"47","Appalachian State","@","Georgia State","W (37-3)",2015-10-10
"48","Appalachian State","@","Louisiana-Monroe","W (59-14)",2015-10-17
"49","Appalachian State","","Georgia Southern","W (31-13)",2015-10-22
"50","Appalachian State","","Troy","W (44-41)",2015-10-31
"51","Appalachian State","","Arkansas State","L (27-40)",2015-11-05
"52","Appalachian State","@","Idaho","W (47-20)",2015-11-14
"53","Appalachian State","","Louisiana","W (28-7)",2015-11-28
"54","Appalachian State","@","South Alabama","W (34-27)",2015-12-05
"55","Appalachian State","N","Ohio","W (31-29)",2015-12-19
"56","Arizona","","Texas-San Antonio","W (42-32)",2015-09-03
"57","Arizona","@","Nevada","W (44-20)",2015-09-12
"58","Arizona","","Non-Major","W (77-13)",2015-09-19
"59","Arizona","","UCLA","L (30-56)",2015-09-26
"60","Arizona","@","Stanford","L (17-55)",2015-10-03
"61","Arizona","","Oregon State","W (44-7)",2015-10-10
"62","Arizona","@","Colorado","W (38-31)",2015-10-17
"63","Arizona","","Washington State","L (42-45)",2015-10-24
"64","Arizona","@","Washington","L (3-49)",2015-10-31
"65","Arizona","@","Southern California","L (30-38)",2015-11-07
"66","Arizona","","Utah","W (37-30)",2015-11-14
"67","Arizona","@","Arizona State","L (37-52)",2015-11-21
"68","Arizona","N","New Mexico","W (45-37)",2015-12-19
"69","Arizona State","N","Texas A&M","L (17-38)",2015-09-05
"70","Arizona State","","Non-Major","W (35-21)",2015-09-12
"71","Arizona State","","New Mexico","W (34-10)",2015-09-18
"72","Arizona State","","Southern California","L (14-42)",2015-09-26
"73","Arizona State","@","UCLA","W (38-23)",2015-10-03
"74","Arizona State","","Colorado","W (48-23)",2015-10-10
"75","Arizona State","@","Utah","L (18-34)",2015-10-17
"76","Arizona State","","Oregon","L (55-61)",2015-10-29
"77","Arizona State","@","Washington State","L (24-38)",2015-11-07
"78","Arizona State","","Washington","W (27-17)",2015-11-14
"80","Arizona State","@","California","L (46-48)",2015-11-28
"81","Arizona State","N","West Virginia","L (42-43)",2016-01-02
"82","Arkansas","","Texas-El Paso","W (48-13)",2015-09-05
"83","Arkansas","N","Toledo","L (12-16)",2015-09-12
"84","Arkansas","","Texas Tech","L (24-35)",2015-09-19
"85","Arkansas","N","Texas A&M","L (21-28)",2015-09-26
"86","Arkansas","@","Tennessee","W (24-20)",2015-10-03
"88","Arkansas","","Auburn","W (54-46)",2015-10-24
"89","Arkansas","","Non-Major","W (63-28)",2015-10-31
"90","Arkansas","@","Mississippi","W (53-52)",2015-11-07
"91","Arkansas","@","Louisiana State","W (31-14)",2015-11-14
"92","Arkansas","","Mississippi State","L (50-51)",2015-11-21
"93","Arkansas","","Missouri","W (28-3)",2015-11-27
"94","Arkansas","N","Kansas State","W (45-23)",2016-01-02
"95","Arkansas State","@","Southern California","L (6-55)",2015-09-05
"96","Arkansas State","","Missouri","L (20-27)",2015-09-12
"97","Arkansas State","","Non-Major","W (70-7)",2015-09-19
"98","Arkansas State","@","Toledo","L (7-37)",2015-09-26
"99","Arkansas State","","Idaho","W (49-35)",2015-10-03
"100","Arkansas State","@","South Alabama","W (49-31)",2015-10-13
"101","Arkansas State","","Louisiana","W (37-27)",2015-10-20
"102","Arkansas State","","Georgia State","W (48-34)",2015-10-31
"104","Arkansas State","@","Louisiana-Monroe","W (59-21)",2015-11-14
"105","Arkansas State","@","New Mexico State","W (52-28)",2015-11-28
"106","Arkansas State","","Texas State","W (55-17)",2015-12-05
"107","Arkansas State","N","Louisiana Tech","L (28-47)",2015-12-19
"108","Army","","Non-Major","L (35-37)",2015-09-04
"109","Army","@","Connecticut","L (17-22)",2015-09-12
"110","Army","","Wake Forest","L (14-17)",2015-09-19
"111","Army","@","Eastern Michigan","W (58-36)",2015-09-26
"112","Army","@","Penn State","L (14-20)",2015-10-03
"113","Army","","Duke","L (3-44)",2015-10-10
"114","Army","","Non-Major","W (21-14)",2015-10-17
"115","Army","@","Rice","L (31-38)",2015-10-24
"117","Army","","Tulane","L (31-34)",2015-11-14
"118","Army","","Rutgers","L (21-31)",2015-11-21
"119","Army","N","Navy","L (17-21)",2015-12-12
"120","Auburn","N","Louisville","W (31-24)",2015-09-05
"121","Auburn","","Non-Major","W (27-20)",2015-09-12
"122","Auburn","@","Louisiana State","L (21-45)",2015-09-19
"123","Auburn","","Mississippi State","L (9-17)",2015-09-26
"124","Auburn","","San Jose State","W (35-21)",2015-10-03
"125","Auburn","@","Kentucky","W (30-27)",2015-10-15
"127","Auburn","","Mississippi","L (19-27)",2015-10-31
"128","Auburn","@","Texas A&M","W (26-10)",2015-11-07
"129","Auburn","","Georgia","L (13-20)",2015-11-14
"130","Auburn","","Idaho","W (56-34)",2015-11-21
"132","Auburn","N","Memphis","W (31-10)",2015-12-30
"133","Ball State","","Non-Major","W (48-36)",2015-09-03
"134","Ball State","@","Texas A&M","L (23-56)",2015-09-12
"135","Ball State","@","Eastern Michigan","W (28-17)",2015-09-19
"136","Ball State","@","Northwestern","L (19-24)",2015-09-26
"137","Ball State","","Toledo","L (10-24)",2015-10-03
"138","Ball State","@","Northern Illinois","L (41-59)",2015-10-10
"139","Ball State","","Georgia State","L (19-31)",2015-10-17
"140","Ball State","","Central Michigan","L (21-23)",2015-10-24
"141","Ball State","","Massachusetts","W (20-10)",2015-10-31
"142","Ball State","@","Western Michigan","L (7-54)",2015-11-05
"143","Ball State","@","Ohio","L (31-48)",2015-11-17
"144","Ball State","","Bowling Green State","L (10-48)",2015-11-24
"145","Baylor","@","Southern Methodist","W (56-21)",2015-09-04
"146","Baylor","","Non-Major","W (66-31)",2015-09-12
"147","Baylor","","Rice","W (70-17)",2015-09-26
"148","Baylor","N","Texas Tech","W (63-35)",2015-10-03
"149","Baylor","@","Kansas","W (66-7)",2015-10-10
"150","Baylor","","West Virginia","W (62-38)",2015-10-17
"151","Baylor","","Iowa State","W (45-27)",2015-10-24
"152","Baylor","@","Kansas State","W (31-24)",2015-11-05
"153","Baylor","","Oklahoma","L (34-44)",2015-11-14
"154","Baylor","@","Oklahoma State","W (45-35)",2015-11-21
"155","Baylor","@","Texas Christian","L (21-28)",2015-11-27
"156","Baylor","","Texas","L (17-23)",2015-12-05
"157","Baylor","N","North Carolina","W (49-38)",2015-12-29
"158","Boise State","","Washington","W (16-13)",2015-09-04
"159","Boise State","@","Brigham Young","L (24-35)",2015-09-12
"160","Boise State","","Non-Major","W (52-0)",2015-09-18
"161","Boise State","@","Virginia","W (56-14)",2015-09-25
"162","Boise State","","Hawaii","W (55-0)",2015-10-03
"163","Boise State","@","Colorado State","W (41-10)",2015-10-10
"164","Boise State","@","Utah State","L (26-52)",2015-10-16
"165","Boise State","","Wyoming","W (34-14)",2015-10-24
"166","Boise State","@","Nevada-Las Vegas","W (55-27)",2015-10-31
"167","Boise State","","New Mexico","L (24-31)",2015-11-14
"169","Boise State","@","San Jose State","W (40-23)",2015-11-27
"170","Boise State","N","Northern Illinois","W (55-7)",2015-12-23
"171","Boston College","","Non-Major","W (24-3)",2015-09-05
"172","Boston College","","Non-Major","W (76-0)",2015-09-12
"173","Boston College","","Florida State","L (0-14)",2015-09-18
"174","Boston College","","Northern Illinois","W (17-14)",2015-09-26
"175","Boston College","@","Duke","L (7-9)",2015-10-03
"176","Boston College","","Wake Forest","L (0-3)",2015-10-10
"177","Boston College","@","Clemson","L (17-34)",2015-10-17
"178","Boston College","@","Louisville","L (14-17)",2015-10-24
"179","Boston College","","Virginia Tech","L (10-26)",2015-10-31
"180","Boston College","","North Carolina State","L (8-24)",2015-11-07
"181","Boston College","N","Notre Dame","L (16-19)",2015-11-21
"182","Boston College","@","Syracuse","L (17-20)",2015-11-28
"183","Bowling Green State","N","Tennessee","L (30-59)",2015-09-05
"184","Bowling Green State","@","Maryland","W (48-27)",2015-09-12
"185","Bowling Green State","","Memphis","L (41-44)",2015-09-19
"186","Bowling Green State","@","Purdue","W (35-28)",2015-09-26
"187","Bowling Green State","@","Buffalo","W (28-22)",2015-10-03
"188","Bowling Green State","","Massachusetts","W (62-38)",2015-10-10
"190","Bowling Green State","@","Kent State","W (48-0)",2015-10-24
